,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
1186,2,ɛ́là ðúɽìðìðɔ̀ èdɔ̀ɽɔ̀ ánó nd̪ɔ̀bà,negative,íŋgá_nɔ̀nà,452.1757507324219,73.37435150146484,bbɒbbʷʷɒʷɒɒɒʷɒɒɒɒɒbǂɒɒɒɒɒǂɒbɒɒɒᶑɒɒʷɒɒɒɒɒ<blk>ʎʎʎʎʎbʎʷɒɒʎɒɒɒʷbbbɒbbɒɒǂɒbǂbǂbɒ<blk><blk>b<blk>bbɒbʷɒʷɒʎʷɒʎɒɒʷɒʎɒɒʷʷbbbbbɒbb<blk><blk>ʷ<blk><blk>b<blk>bbʎbʟbbʟb<blk><blk>b<blk><blk><blk>b<blk><blk><blk>bb<blk><blk><blk>b
1080,0,láɾl̀à ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà,negative,íŋgá_nɔ̀nà,593.1266479492188,73.42139434814453,bbbbbbbbbʟbbbbbb<blk><blk>bbbbbbbbɹ<blk><blk>bbbʷ<blk>bbɒʟʷǂɒɒɒʷɒɒɒɒɒɒɒʷɒɒǂɒbɒʷɒɒɒbɒbɒbbbɹbbbɒbʟbbbɒɒɒɒɒɒɒʎɒbbbʎbbʎɑbbbbbʕbb<blk>bb<blk>bbb<blk>bbbɒbɒbbbbbbbbbbbbbbbbbǂɒbɒɒ<blk>bbbbbb<blk>ʎ<blk>ɒb<blk>ʎbɒ<blk>ʎbɒbʷbbʎɒʎɒbbbʷbbbbbbbɔ<blk>bbb<blk>bb<blk>b
1194,0,jít̪ɔ́ ílí lɔ́ɽá ŋìðìjí kə̀r̀nà kàɾó ŋgá ŋgá jájàt̪à ɛ̀ðɛ̀,negative,íŋgá_nɔ̀nà,1086.9144287109375,73.84458923339844,ɒɒɒʎɒɒɒɒɒɒɒʷʷbʷɒɒ̩ɒɒǂǂɒǂǂǂɒɒɒɒɒɒʷɒɒʎǂɒɒɒb̩ɒɒwʷɒɒɒʜⱱⱱɒɒ̩ǂɒǂǂǂɒɒʷɒbʷᶑᶑʎǂbʷɒɒɒɒɒbbǂʷɒbʷɹʎʷbbʷbʷʷʷɒɒɒɒʷ̩ɒbɒɒǂʷɒbɒɒɒɒɒǂɒɒʷ<blk>ǂɒɒ̩ɒɒǂɒɒɒɒʷɒɒbɒɒɒɑbɑbɒǂbb̩ⱱǂǂffɒfbʷʷʷʷbwɒbɒbʟfɒɒǂɑᶑǂɒɒɒɒɒʜɒɒɒɒɒɒɒbɒɒɒɒʷǂʷɒǂɒǂɒǂǂiɒɒɒɒɒɒʷʷɒǂɒɒbɒɒʜɒɒɒɒ̩ɒɒɒɒǂɒɒ̩ɒɒɒʷɒɒɒǂɒbfɒɒʷɒɒǂɒɒɒɒɒɒɒʷɒɒɒɒʷɒʷɑɒʷɒɒɒɒɒɒʷǂɒʷɒ
1083,3,ágá nɔ́nà àɽàŋgár nd̪ɔ̀bà,close_negative,íŋgá_nɔ̀nà,568.5425415039062,74.02362060546875,b<blk>ʎbɒʷbbɒbɒʷɒʷʷʷɒbɒɒɒɒɒɒʷɒɒɒɒbʷɒʷɒɒɒʎʷʷᶑoʷɒʷʷɒʎʷbbʷʎbɹb<blk>bbbb<blk><blk>ʎb<blk>b<blk>ʎbbbbbbʟʷǂɒʷǂɒʷɒʷʷɒɒɒɒɒɒbɒɒɒɒbʎɒʷʎbʎʎʷɒʷɒɒɒʷbɒɒɒʷɒɒʷʷɒɒɒbbbʎbɒʷɒɒɒɒʎɒɒɒɒʷʷɒʷɒɒʷbbɒbʟʷbb<blk>b<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>bbb<blk>b<blk>b<blk><blk>b<blk>
1111,5,át̪ú áŋàŋìnɔ́ dɛ̀,negative,íŋgá_nɔ̀nà,204.3345642089844,74.06807708740234,b<blk>bbb<blk>bbʷbbʷɒɒɒʷɒɒʷɒʷʎʷʎbɒɒʷbbʷɒɒɒʷʷɸbɒʷbʷɒɒʷbbɒbʷbʷbbbʎ<blk>b<blk><blk>bʕ<blk>
1103,14,ŋìðɛ̀ní ŋə̀ɽà ká t̪ólé,negative,íŋgá_nɔ̀nà,219.0924530029297,74.37702178955078,bbbbbbbbbbbb<blk>ʷbbʎbʎʎbʎbɒɒɒbbɒɒɒbʎʎbʟbɒʎʎʎʎbʷb<blk>bbbbʎʎbb<blk>bbbbbʎbbbbbɹb<blk>b<blk><blk><blk><blk><blk><blk>
1125,19,ámácí,negative,íŋgá_nɔ̀nà,131.0209503173828,74.40547943115234,bʷǂʷɒ<blk>bɒʷbbbɹɒʷʷbbʷbbbbʟbɒʷɒɒǂʷɒ<blk><blk>bb<blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk>bb<blk><blk><blk><blk><blk>b<blk><blk><blk>
1195,1,àn èdɛ̀ɽì kɛ̀ɾɔ́ íŋgá ŕnà ŋrɔ̂bà,close_negative,íŋgá_nɔ̀nà,762.8895263671875,74.5488052368164,ʷbǂbbɒɒʷɒɒɒɒɒɒɒbɒbbbbb<blk>fbbbbbbʎɒɒbɒbɒɒɒɒɒɒɒɒbɒɒɒbbbbbbɒbɒɒɒɒɒɒǂbɒʷɒɒǂʷɒɒɒɒʷɒʷʷʷʷ<blk>bʎb<blk>bbbb<blk><blk>b<blk>bbbbbb<blk>b<blk>bbb<blk>b<blk><blk>bbb<blk>bb<blk><blk>bbbbbbbbbbbbbbbbb<blk>bɒbʎɒʷɒʎ<blk>ɒbʷbɒʷʷɒʎɒʷʷɒɒʷbɒbʷʎʎʷʷʷʎɒʷʷʷʷʷʷʷʎ<blk>ʷ<blk>ʎʎɑb<blk>bbʟbb<blk>bbbb<blk><blk>bbbbbbbbbbbb<blk><blk><blk>b<blk>bb<blk>b<blk><blk>b<blk><blk>bbbbbb<blk><blk>ʎʷʎɒʎʷbzzɒbɒʎʷɒʎʎbɒb<blk>ɒɒbbbb<blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk>b
1147,0,íŋgá nɔ́nà kúkùŋú dɛ̀ íŋgá ɔ̀ɾɔ́ kə́nɔ̀nà kɜ́lùŋú,positive,íŋgá_nɔ̀nà,834.9967041015625,74.6214370727539,b<blk>b<blk>bbbbbbɒɒbʷ<blk>bwɒɒbɒɒɒʷɑɒᶑɒʷbʷʎʷbbbᶑɒʷᶑǂbʷʷbɑʷʷb<blk>bbbb<blk>bbbb<blk><blk><blk>bbbbbbbbb<blk>bbb<blk><blk><blk>bbbɒ<blk>ʷbbɒbʷʷbbʷbbʷbʷɑʷɑɒbʷb<blk>bb<blk>bbbbbbbb<blk><blk>bbbbbbbbbbbb<blk>bb<blk><blk>bbbbbb<blk>b<blk>ɹbbbbb<blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk>b<blk>b<blk><blk>b<blk>ʷbbbbbʷbɑbʷ<blk>bʷbbʷbbbbbɑbbɑʷʷ<blk>bbbbbbbʷbʷʷʷbʎbʎʎʷbbbʷbʟʷbɒɒɒʷbʷʎbbbbɹbbbbbbbbbbbbbbbbbʕbᶑbbʷbbbɒɒɒbʎbbɒʜ<blk>bbbbbbb<blk>bb<blk>bbb<blk><blk>ʎ
1122,16,ɾácí ŋávɛ́,negative,íŋgá_nɔ̀nà,178.16783142089844,74.83123779296875,ɒɒɒɒɒɒbɒɒbɹɒbbbɹǂɒɒɒʷɒʟɒbɒʷbbbɒɒʷɒʷɒbɒɒɒbbɒʷʷɒʷbb<blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk>b
