index,phrase,recording_id,start,duration,channel,language,speaker,gloss,lemmata,fst_normalized,num_raw_variants,token_count
0,ijo,HH09022020,2574.166,0.959,0,tic,Himidan,"beat[VENT,IPFV]",ij,ìjɔ́,6,12
1,lalov@leda ndobage,HH10012020,1147.786,2.484,0,tic,Himidan,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,láló_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,6,18
2,lamini lome unere,HH20211207-Zoom,935.352,1.374,0,tic,Himidan,"love[CLL,VENT,PFV] rain[NOM,SG] yesterday[]",amiɲ lɔ́mɛ́ ùnɛ́ɾɛ́,làmìɲí lɔ́mɛ́ ùnɛ́ɾɛ́,6,12
3,laro lic@lo,HH20220206-1,20.145,1.53,0,tic,Himidan,"sibling[NOM,PL] good[CLL]",àɾò icəlo,làɾò lìcə̀lò,6,15
4,k@v@ledol unere,HH10012020,475.445,1.57,0,tic,Himidan,"pull[CLG,VENT,PFV,WH.LOCATIVE] yesterday[]",vəlɛð ùnɛ́ɾɛ́,kə̀və̀lɛ̀ðɔ́l ùnɛ́ɾɛ́,5,12
5,l@v@ledelo unere,HH20210305,1636.557,1.48,0,tic,Himidan,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,5,11
6,l@v@ledanal unere,HH20210312,577.34,2.03,0,tic,Himidan,"pull[CLL,VENT,PFV,3PL.OBJ,1PL.EXCL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,lə̀və̀lɛ̀ðáɲâl únɛ́ɾɛ́,5,24
7,laido ijo ndoba,HH20211019-1,2404.96,2.22,0,tic,Himidan,"aux do[CLL,VENT,IPFV,aux] letter[NOM,PL,left_h] tomorrow[]",ŋgá ið ðìjɔ̀ nd̪ɔ̀bà,lá_ìðɔ́ íjɔ̀ nd̪ɔ̀bà,5,14
8,alela l@t@ve dar,HH20210927,2343.615,1.62,0,tic,Himidan,"gourd.piece[NOM,SG,left_h] slice[CLL,IT,DEP] rope[NOM,SG]",ɛ̀là(1) t̪əv ðár,ɛ́là lə̀t̪ə̀vɛ̀ ðár,5,9
9,lelv@lede unere,HH20210305,2284.517,1.62,0,tic,Himidan,"aux pull[CLL,IT,PFV,3PL.OBJ,1SG.SBJ,aux] yesterday[]",ŋgá vəlɛð ùnɛ́ɾɛ́,lɛ̀ĺ_və́lɛ̀ðɛ̀ ùnɛ́ɾɛ́,5,18
