sentence_id,translation,original_sentence,textnorm_sentence,audionorm_sentence,audio_quality,extra_speech,missing_speech,mistranscription,comment,final_sentence
12856,To feel good is good,ðícílá ðìcə̀lò,ðíbíl ðìcə̀lò,ðícílá ðìcə̀lò,3.0,False,False,False,,ðícílá ðìcə̀lò
13375,To cut meat is good,ðə́ðá ɛ́ðɛ̀ ánó ðìcə̀lò,ðə́ðá ɛ́ðɛ̀ ánó ðìcə̀lò,ðə́ðá ɛ́ðɛ̀ ánó ðìcə̀lò,3.0,False,False,False,,ðə́ðá ɛ̀ðɛ̀ ánó ðìcə̀lò
6114,they opened their mouths yesterday(and left),là kíðɛ̀ ŋɔ̀ɲà ùnɛ̀rɛ̀,là kíðɛ̀ ŋɔ̀ɲà ùnɛ́ɾɛ́,là kíðɛ̀ ŋɔ̀ɲà ùnɛ́ɾɛ́,3.0,False,False,False,,là kíðɛ̀ ŋɔ̀ɲà ùnɛ́rɛ́
18219,a co-wife is good,ɛ̀ɾə̀mt̪ù kìcəlò,rə̀mt̪ kìcə̀lò,ɛ̀ɾə̀mt̪ù kìcəlò,3.0,False,False,False,,ɛ̀ɾə̀mt̪ù kìcəlò
12417,Don't help Kuku!,àt̪ ɔ́ɽɟɛ̀cɔ̀ŋnɔ̀ kúkùŋú ánó dɛ̀,át̪ú ɔ́ɽɟɛ̀cìnɔ̀ kúkùŋú ánó dɛ̀,àt̪ ɔ́ɽɟɛ̀cɔ̀ŋnɔ̀ kúkùŋú ánó dɛ̀,3.0,False,False,False,,àt̪á ɔ́ɽɟɛ̀cɔ̀ŋnɔ̀ kúkùŋú ánó dɛ̀
10766,The food is inside the monkey,lɔ̀mɔ̀ lòú kúɽùɛ̀l kárè,lɔ̀mɔ̀ lúɔ́ kɔ́ɽɜ́l káɾɛ̀,lɔ̀mɔ̀ lòú kúɽɛ̀l kárè,3.0,False,False,False,,lɔ̀mɔ̀ lòú kúɽɛ̀l káré
4287,we (dual) are going to cut the rope,álɛ́là lə́t̪ə́vɛ̀ ðár,álèŋà lə́t̪ə̀vɛ̀ ðár,álɛ́là lə́t̪ə́vɛ̀ ðár,3.0,False,False,False,,álɛ́là lə́t̪ə́vɛ̀ ðàr
17130,true name,kɛ́r nɔ́kɛ̀n,kɛ́ɾá nɔ́ðɛ̀,kɛ́r nɔ́kɛ̀n,3.0,False,False,False,,kɛ́r nɔ́kɛ̀n
9920,Tell them to return the book (towards),árt̪ɔ́ló lə̀vɜ̀ɽɔ̀ àdàm,áŋt̪ɔ́ú lə̀vɜ̀ɽì àdám,árt̪ɔ́ló lə̀vɜ̀ɽɔ̀ àdàm,3.0,False,False,False,,árt̪ɔ́ló lə̀vɜ̀ɽɔ̀ àdám
17472,Kuku will spread the tablecloth (far),kúkú ŋgákl̀cí ɛɾaðɛ n ari,kúkù ŋgá_kɛ̀cí ɛ́ɾáðɛ́ nɛ̀ rî,kúkú ŋgá_kə̀lcí ɛ̀ɾáðɛ́ nɛ̀ àré,3.0,False,False,False,,kúkù ŋgá_kə̀lcí ɛ̀ɾáðɛ́ nɛ̀ àré
6131,they listened well yesterday,lə̀nɔ́ nɔ́ŋnɔ̀ ùnɛ̀rɛ̀,lə̀ǹɔ́ nɔ́ŋnɔ̀ ùnɛ́ɾɛ́,lə̀ǹɔ́ nɔ́ŋnɔ̀ ùnɛ́ɾɛ́,3.0,False,False,False,,lə̀ǹɔ́ nɔ́ŋnɔ̀ ùnɛ́rɛ́
4186,I will cut the rope,íŋgát̪ə̀vɔ́ ðàr,íŋgá_t̪ə̀vɔ́ ðár,íŋgá_t̪ə̀vɔ́ ðár,3.0,False,False,False,,íŋgá_t̪ə̀vɔ́ ðàr
11427,Kuku will beat the drum (far),kúkù kâpɔ́ índɔ̀,kúkù kápɔ́ índɔ̀,kúkù kápɔ́ índɔ̀,3.0,False,False,False,,kúkù kápɔ́ índɔ̀
3770,Kuku gave you the snake,kúkù kə̀ŋàcâ rŋɔ̀,kúkù kə̀ŋàcà ŕŋɔ̀,kúkù kə̀ŋàcá ŕŋɔ̀,3.0,False,False,False,,kúkù kə̀ŋàcá r̀ŋɔ̀
15088,The hare became good (and left),ŋŋìðə̀ní ŋàcílì t̪ɔ̀wə̀nì,ŋìðɛ̀ní ŋàcìjí t̪ɔ́wɜ̀nì,[so] ŋìðɛ̀ní ŋàcìlí t̪ɔ́wɜ̀nì,3.0,True,False,False,,[so] ŋìðɛ̀ní ŋàcìlí t̪ɔ̀wɜ̀ni
8606,It's the farmer who will push the bicycle,àn ɛ́làɽà kádɔ̀ŋðɔ́ lə́vàvrà,àn ɛ́làɽà ká_dɔ̀ŋðɔ́ lə́vàvɾà,àn ɛ́làɽà ká_dɔ̀ŋðɔ́ lə́vàvɾà,3.0,False,False,False,,àn ɛ̀làɽà ká_dɔ̀ŋðɔ́ lə̀vàvrà
13481,To begin creating a book is good,ðáɽíðá ásà ðɔ́ɽdà àdám ðìcə̀lò,ðáɽíðá ásá ðɔ́dà àdám ðìcə̀lò,ðáɽíðá ásà ðɔ́ɽdà àdám ðìcə̀lò,3.0,False,False,False,,ðáɽíðá ásà ðɔ́ɽdà àdám ðìcə̀lò
3430,What did he eat yesterday?,ǎn ɔ́ndì kíjɔ́ŋ ùnɛ̀rɛ̀,àn ɔ́ndì kíjɔ́ŋ ùnɛ́ɾɛ́,àn ɔ́ndì kíjɔ́ŋ ùnɛ́ɾɛ́,3.0,False,False,False,,àn ɔ̀ndì kíjɔ́ŋ ùnɛ́rɛ́
17204,Be beaten now! (far),pìnɔ́ t̪ɔ̀wə̀nì,pìnɔ́ t̪ɔ́wɜ̀nì,pìnɔ́ t̪ɔ́wɜ̀nì,3.0,False,False,False,,pìnɔ́ t̪ɔ̀wɜ̀ni
7842,The birds (doves) are good.,ŋùbút̪ú ŋìcə̀lò,ŋùbút̪ú ŋìcə̀lò,ŋùbút̪ú ŋìcə̀lò,3.0,False,False,False,,ŋùbút̪ú ŋìcə̀lò
5378,Visit Kuku!,və́lɛ́cí kúkùŋù,və́lɛ́cí kúkùŋú,və́lɛ́cí kúkùŋú,3.0,False,False,False,,və́lɛ́cí kúkùŋú
12152,he is watching your mother now,kàðə́nɔ̀nà lɛ̀ŋgàló t̪àwə̀nì,ká_nɔ́nà lɛ̀ŋgàló t̪àwìðì,kàðə́nɔ̀nà lɛ̀ŋgàló t̪ɔ́wɜ̀nì,3.0,False,False,False,,kàðə́nɔ̀nà lɛ̀ŋgàló t̪ɔ̀wɜ̀ni
5519,Eat his/her food!,ját̪ɔ́ ŋɔ̀mɔ̀,ját̪ɔ́ ŋɔ̀mɔ̀,ját̪ɔ́ ŋɔ̀mɔ̀,3.0,False,False,False,,ját̪ɔ́ ŋɔ̀mɔ̀
12718,They will go to milk the cow tomorrow,láɛ́là ðə́ɟíðɔ̀ dìjɔ́ nd̪ɔ̀bà,láɾl̀à ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà,láɾl̀à ðə́ɟíðɔ́ ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà,3.0,False,False,False,,láɾl̀à ðə́ɟíðɔ́ ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà
15032,The bundle of grass is good,ldɔ́lə́ŋâɲà lìcə̀lò,lə́lə̀ŋáɲà lìcə̀lò,ldɔ́ lə́ ŋâɲà lìcə̀lò,3.0,False,False,False,,ldɔ́ lə́ ŋáɲà lìcə̀lò
2334,That is the dog that the lion chased (towards),án ŋɛ̌n ŋàí ŋárlɛ̀ŋí t̪ʊ́lì,àn ŋɛ́n ŋâj ŋáɾl̀ɛ́ŋí búlì,àn ŋɛ́n ŋâj ŋáɾl̀ɛ́ŋí t̪òlé,3.0,False,False,False,,àn ŋɛ́n ŋâj ŋáɾl̀ɛ́ŋí t̪òlé
18838,this is a fire,ǎn íjó jɛ̂,àn íjɔ́ jɛ̂,àn íjɔ́ jɛ̂,3.0,False,False,False,,àn íjɔ̀ jɛ̂
11750,Kuku will get lost in the field tomorrow,kúkù kát̪át̪à ǹ lɛ̀vɛ́r nd̪ɔ̀bà,kúkù káwàt̪à nɛ̀ lə̀və́r nd̪ɔ̀bà,kúkù kát̪àt̪à nɛ̀ lə̀və́r nd̪ɔ̀bà,3.0,False,False,False,,kúkù kát̪àt̪à nɛ̀ lə̀və́r nd̪ɔ̀bà
13863,The letter is good.,ðìjɔ̀ ðìcə̀lò,ðìjɔ̀ ðìcə̀lò,ðìjɔ̀ ðìcə̀lò,3.0,False,False,False,,ðìjɔ́ ðìcə̀lò
16357,They will throw themselves towards tomorrow (REFL) (=PASS2),lá vr̀ðɜ̀ìnɔ́ nd̪ɔ̀bà,lá vr̀ðìnɔ́ nd̪ɔ̀bà,lá vr̀ðàðìnɔ́ nd̪ɔ̀bà,3.0,False,False,False,,là vr̀ðàðìnɔ́ nd̪ɔ̀bà
9261,The hare has become fat,ŋìðə̀ní ŋʊ̀dɔ́,ŋìðɛ̀ní ŋʊ̀dó,ŋìðɛ̀ní ŋʊ̀dó,3.0,False,False,False,,ŋìðɛ̀ní ŋùd̪ó
