,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
617,9,là vɾáðɛ̀ ùnɛ́ɾɛ́,negative,ùɾnɔ̀,206.66018676757807,39.14019012451172,<blk><blk>ɪ<blk>ʷʷʷʷʷ<blk>ʷʷʷʷʷʷ<blk>ʷʷʷʷǂʷʷʷʷʷʷʷʷʷʷǂʷʷʷǂ<blk>fʷʷ<blk>ɪʷ̪ʷ<blk><blk>ʷʷʟʷǂ<blk>ʷʷʷʷʷʷǂʟʷʷɹʷ<blk>f<blk>t<blk><blk><blk><blk>
602,2,láɾl̀à ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà,negative,ùɾnɔ̀,602.3170166015625,39.53414916992188,bbbbbbbbʟbbbbbbbbbbbbʕ<blk>bɹ<blk><blk>bb<blk>b<blk><blk>bbǂɒʷǂbɒɒǂɒɒɒʷɒɒɒɒʷɒɒɒɒɒʷɒɒʎɒʎbɒɒbɒbʎbbbɒɒbɒbɒbɒɒɒɒɒɒɒɒʷb<blk>ɹbbbʎ<blk>bbbbbbbb<blk>b<blk>bbbbɒbbɒʎʎʎɒb<blk><blk><blk><blk><blk>bbbbbbbɒbbɒbɒbʎbbʎ<blk>bɒbǂbbbbʎɒʎʎ<blk>ʎbbɒʎbʷ<blk>ʎʷbbbbb<blk>bbbbbbbbb<blk>bbb<blk>b<blk>b<blk><blk><blk><blk><blk><blk><blk>bb<blk>b<blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk><blk>
667,0,jít̪ɔ́ ílí lɔ́ɽá ŋìðìjí kə̀r̀nà kàɾó ŋgá ŋgá jájàt̪à ɛ̀ðɛ̀,negative,ùɾnɔ̀,1174.482421875,39.58763885498047,ǂǂǂǂǂǂʎǂiʎǂǂǂǂǂǂǂǂǂǂǂǂǂǂǂǂɑǂǂǂǂǂǂǂǂǂǂǂǂǂǂ̩ǂǂʜfǂǂǂǂʜ̩ǂǂ̩ɑǂǂǂǂǂǂǂǂǂǂǂǂǂǂǂǂǂǂǂiǂʎǂǂǂʟɗǂʎʟɸʟʷʎbǂbǂʎʷɑʷǂǂǂǂǂǂǂʷǂǂ̩ǂǂǂǂǂǂ̩ɑǂǂǂǂǂǂǂǂǂǂiʜʜʜǂǂǂʷǂʜǂǂǂǂǂǂǂɑɑ̩ɗbɗǂɗǂǂǂʜʷɒʟiǂbǂǂʜ̩ʜǂibʜǂǂǂǂǂǂǂǂǂǂǂiǂʜǂǂǂǂǂǂǂǂǂǂǂǂǂǂǂʜǂǂǂʜǂǂʷǂǂɸǂǂǂǂǂǂǂǂǂǂǂ̩ǂǂǂǂ̩ǂǂǂɑǂǂǂǂǂǂǂb̩ǂǂǂǂǂ̩ǂɑǂǂǂ̩ǂǂ̩ǂǂǂǂ̩ǂǂ̩̩ǂǂǂǂǂǂ̩iǂǂ
613,5,nɛ́ðɔ́ kúkùŋú t̪ɔ́wɜ̀nì,negative,ùɾnɔ̀,205.7097625732422,39.68131256103516,<blk>ʷʷʷʷiʷɪʷʷʷʷǂʷʷǂʷʷʷzɨ<blk>ʷʷʷǂʷɪɪʷʷʷʷ<blk>ɪʷʷ<blk><blk>ʷʷ<blk>ʷʎ<blk><blk>ʷ<blk>ʷʷʷʷʷǂ<blk>ʷɪǂ<blk>ʷʷʷʷɪ<blk>t<blk><blk>ʷɪɪɪ<blk>ɹ
701,8,ká nɔ́nà lɛ̀ŋgàló t̪àwìðì,negative,ùɾnɔ̀,317.7477111816406,39.76505661010742,<blk>b<blk>bbbb<blk>bbb<blk><blk>bb<blk>ʎbɒzbɒbʎʷɒɒbɒʎʷɒɒbʷbbɒbʎbbbbbɒbɒɒɒʎbb<blk>bbbɒbɒb<blk>bbʎbbb<blk>bb<blk>b<blk>ɒbɒʷʷɒʎbbbbʎbbbb<blk>bb<blk><blk>bbb<blk><blk>b<blk><blk><blk>bbb<blk><blk>b<blk>b<blk>b<blk><blk><blk>
712,8,jáɽó lɔ́mɔ̀ káɾɛ̀ kúɽì,negative,ùɾnɔ̀,361.65087890625,39.86751937866211,<blk><blk><blk><blk>ʷ<blk>ʷʷʷʷʷʷʷǂʷʷfʷʷʷʷʷ<blk>ʷʷʷʷʷʷ<blk>ʷʷǃʷʷʷʷʷ<blk><blk>ʷʷɨʷʷʷ<blk>ʷʷ<blk><blk>ʷɯʷʷʷʷʷʷʷʷʷʷʷʷʷʷǂʷ<blk>ʷʷʷʷʷɪʷʷʷʷɨʷɪɪ<blk>ʷ<blk><blk><blk>ɨɪ<blk>ɪ<blk>ɪʷʷɪ<blk>ʷʷʷʷ<blk>ʷʷʷɪ<blk>ʷfʷ<blk><blk>ɪʷɪɯɪɨɹ<blk><blk>ɪɹ<blk>ɹ<blk><blk>ɹ<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>
672,4,ɟíðɛ́cí dìjɔ́ dún,negative,ùɾnɔ̀,309.461669921875,39.89054870605469,tʷɪfɪ<blk><blk>ɪʷɪ<blk>ɪɪɪ<blk>fʷʷʷʷʷʷʷiʷʷʷʷʷʷʷʷʷʷʷʷǂʷʷʷʷǂǂʷʷfʷʷfɪɪǂʷʷʷǂʷʷǂʷʜǂ<blk>fʷʷʷǂʷʷ<blk>fʷʷʷʷʷʷʷʷʷʷʷʷʷʷʷʷɨʷʷ<blk>ʷʷ<blk>ʷɹɹ<blk><blk><blk>
678,10,àn ɛ́làɽà ká dɔ̀ŋðɔ́ lə́vàvɾà,negative,ùɾnɔ̀,303.9879150390625,40.01457977294922,ɪʷʷʷǂʷʷʷʷʷʷʟʷ̪ʷʷʷʷʷǂʷʷʷǂʷʷʷʷʷzʷʷʷʷʷʷʷfʷʷʷʷʷʷiʷʷʷʷʷʷɪʷʷʷʷfʷʷʷf<blk>ʷʟʷʷʷʷʷʷɯʷʷʷʷʷʷʷʷʷʷʷʷʷfʷɪʷʷ<blk>ɨɪɨ<blk>ɹ<blk><blk><blk><blk>ɹ<blk>
647,20,íjɔ́ ɛ́ðɛ̀,negative,ùɾnɔ̀,120.7194595336914,40.269561767578125,bbbbbbbb<blk>ɒbbɒʷbbbbbbbɒbʷɒbbɒʎbʎʎbb<blk>b<blk>ɹ<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk>bb<blk><blk>b<blk><blk>
655,2,lɔ́dà ə̀ŋná nd̪ɔ̀bà,negative,ùɾnɔ̀,260.3876647949219,40.31646728515625,<blk><blk>ɪɪʷɪʷʷʷ<blk>ʷʷʷʷʷ<blk><blk>ɪʷʷʷ<blk>ʷɪʷʷʷʷʷʷʷʷʷǂʷʷʷǂʟǂǂǂǂʷ<blk><blk>ɪʷʷʷʷʷǂʷɪʷ<blk>ʷ<blk>f<blk>ʷʷʷ<blk>ʷǂʷʷʷʷ<blk><blk>ɪʷɪʷʷ<blk>ʷʷʷɪʷǂ<blk>ɪɨ
