,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
356,3,kúkù ŋgá kɛ̀cí ɛ́ɾáðɛ́ nɛ̀ rî,negative,lɛ́ŋgɛ́n,631.542724609375,46.73863983154297,ʷɒb<blk>ɒʷɒb<blk>ɒbbbbbbʷɒɒɒɒɒɒɒ<blk>bbb<blk>bbʎbbɒɒbʎbbɒɒɒɒɒɒɒǂɒbɒɒɒbʷɒɒʷɒɒʷbɒbbʷɑʷbbb<blk>ɒɒʜɒǂɒbʷʷʷɒɒʜbʷɒʷb<blk>b<blk>bbb<blk>bbbbbbbbbb<blk>bbbbʎʷbʎbbbbbʎbbbʎʎbʎʟbbb<blk>ʎb<blk>ǂbbʷʷɒʜʷʎbʷbʎɒʷɒbʷʷʎʷbbʷʎbʷʷɒʷɒʎbbbbɒ<blk>b<blk>bbbbbbbbbbbbbb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>bb<blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk>ɹ<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk>
291,24,ḿɔ́,negative,lɛ́ŋgɛ́n,78.278076171875,46.74305725097656,bbʟb<blk>bbbbɒɹɒɒbbɒʎ<blk>bbbbbb<blk><blk>b<blk><blk>b<blk><blk>b<blk><blk><blk>bb<blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk>b<blk>b<blk><blk><blk><blk><blk><blk>b<blk>
354,1,àpɾí jámìɲí lɛ́ŋgɛ́n jámìɲí ðíɲɔ̀,positive,lɛ́ŋgɛ́n,650.889892578125,46.81749725341797,ɒʷɒbɒb<blk>ʷ<blk>bɒbɹbʷɒɒɒɒɒɒǂbʷɒʎɒɒbɒbʷbbbbbb<blk><blk>ʟbʎ<blk>bb<blk>bbbbbb<blk>bbb<blk>b<blk>bbbbɒbʷʷʷʷʷɒʷʷɒɒʷɒʷʎɒbbbbbɒɒɒɒbɒɒɒǂɒʷʎʷɒʷɒɒɒɒɒʷʟɒbɒbǂɒʷʷɒɒʷʷʷʷbʷʎbɒʎ<blk>b<blk>ɹb<blk>bbbbbbbbbbbɒbɒbɒɒʎbɒbbbbbɹbbbbbʷɒbbbbbbɒbbbbbbɒbbʎʷʎʎ<blk>bbb<blk>bbbbbbʟ<blk><blk><blk><blk>ɦ<blk>b<blk>b<blk><blk><blk><blk>b<blk><blk><blk><blk><blk>bbb<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk>bbb<blk><blk>b<blk><blk><blk>b<blk>b<blk>bb<blk><blk>b<blk><blk><blk>bbb<blk>
285,18,ámácí,negative,lɛ́ŋgɛ́n,131.36526489257812,46.89328002929688,bʎɒbɒʷbbɒbɒɒɒɒbɒʎbbbbbʟʟɒbɒɒɒɒɒɒ<blk>bb<blk><blk>bɹ<blk>b<blk><blk>bb<blk><blk>b<blk><blk><blk><blk><blk>b<blk>b<blk>b<blk><blk><blk>
355,2,lá ùɽcàcí lɛ́ŋgɛ́n ánó ɛ́ɽɛ́ nd̪ɔ̀bà,positive,lɛ́ŋgɛ́n,701.5346069335938,46.9455451965332,bbbɒb<blk>bʷɒbbɒɒɒbbbʎǂɒʷɒɒɒɒɒɒɒɒɒbʷɒɒbɒɒɒɒɒbɒbɒʷɹʷʷɒbɒbɒɒɒɒbʷbɒbbʷɒbǂbɒɒǂɒbǂbɒɒɒʎʎʷbbbbbbb<blk>ɹb<blk>bb<blk>bbbbbbbbbbbbb<blk>bbbbbbbǂbbbbɒɒɒʷʷʷʷʷbɒɒbɒbɒɒbʷɒɒɒɒʷɒʷʷɒʷɒɒǂʷɒbɒɒɒʷɒʷʷɒʷʷɒɒɒʷbɒɒʷɒbɒbbɒʎbɒbɒɒʟɒɒbbʷbʷbbbʷbbbb<blk>b<blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk><blk>b<blk><blk><blk>b<blk><blk>bbb<blk><blk><blk>bbbb<blk><blk>b<blk><blk><blk><blk><blk>b<blk>b<blk><blk><blk><blk><blk>
289,22,ìbɛ́j,negative,lɛ́ŋgɛ́n,79.35147857666016,47.00531005859375,bbbb<blk>bbbbb<blk>b<blk><blk>bb<blk>bb<blk>bb<blk>b<blk>bb<blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk>b
288,21,tútɔ́,negative,lɛ́ŋgɛ́n,103.23149871826172,47.25843811035156,bbbbbbbbbbʎbbbʎbbbbbbb<blk>bʎbbbbbbbbɹ<blk><blk><blk><blk>bb<blk><blk>bbb<blk><blk><blk><blk><blk><blk>b<blk><blk><blk>bb<blk>bbb
359,6,òɾà kɔ̀ɾìt̪ɔ́ lɛ́ŋgɛ́n,positive,lɛ́ŋgɛ́n,416.8140869140625,47.26204681396485,bbbbbbbbɒʷɒɒbɒʷɒɒɒɑʷɒɒɒɑɒɒʷʎʷʷʎʷ<blk>ʎb<blk>bʎbbbb<blk>b<blk>bb<blk>bb<blk>b<blk><blk>bbb<blk>bb<blk><blk>b<blk><blk>b<blk>b<blk><blk><blk>bbbb<blk>bbb<blk>bbbb<blk>bbʷbbbbbb<blk>bb<blk>bbbʷʷbɒɒʷᶑbɸɒɒbbbɛbbbbb<blk><blk>bbbbb<blk>ʷʷʷʷbb<blk><blk><blk>bbbbbbbbbbb<blk>bb<blk><blk><blk>bb<blk><blk>bbb<blk><blk>b<blk><blk><blk>b<blk><blk>b<blk><blk><blk>b<blk>bb<blk><blk>bb<blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk>b<blk><blk>bb<blk><blk>b<blk><blk><blk>b<blk>b<blk><blk>bb<blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk>bbbbb<blk><blk><blk>
290,23,kɛ́ɾá nɔ́ðɛ̀,negative,lɛ́ŋgɛ́n,98.2782745361328,47.27783584594727,ɒɑʷɒʷʷʷʷʷǂbʷɒʷɒʷɒbʷɒbʷɒʷɹɹɹ<blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk>bb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk>b<blk>b<blk><blk><blk><blk>
248,8,ɔ̀ɽìt̪ɔ́ lɛ́ŋgɛ́n káló,positive,lɛ́ŋgɛ́n,408.8834533691406,47.34358978271485,bbbbbbbbbɒɒbɒɒɒʷbbbʕʷ<blk>wbbbɒbǂʷʎbb<blk>bbbbbbbbbbɑʷɑbɒbʷɑʷʷbɒɭbʷbʷɒbʷʷbɒɒ<blk>b<blk>bʛ<blk>bbʷbbbbbbʷbb<blk>bbbbʎbbbbbb<blk>bbbb<blk>ʷᶑbɒɒbbɒʷʷbbbbʎʎbbbbbʎbbbɹ<blk>ɹb<blk><blk><blk><blk><blk>bb<blk>bbb<blk><blk><blk><blk>b
