,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
9,1,là lácì ʊ̀mɔ́ ùnɛ́ɾɛ́,negative,àpɾí,277.4110717773437,38.32110595703125,ǂʟǂǂʷʟǂǂǂǂǂiʷǂǂ̩ɹǂʜɹǂǂǂbǂǂǂʎǂǂǂʜbbbbbbbbʎɹbbbbʎʎʎʟʎʎbbɹʎbɹʎʎʎʟʎʎǂʟǂǂʷʜbǂɸʎxbɸg
11,3,ŋídí ŋúɽcà ŋâj ŋə̀ɽà,negative,àpɾí,259.81207275390625,38.59010314941406,bbbbǂ<blk><blk>bʎʎbʎbbʜʎʷb<blk>ʎʎʎɒbǂbǂǂbɻbǂǂɹʟbbbʎʎǂbǂʎǂbiǂʜbɹbɹbbǂɹbʟʎʷbʎbʎʟbɹgʟʎʎɹ<blk>ɹɹʕɹ
113,0,jít̪ɔ́ ílí lɔ́ɽá ŋìðìjí kə̀r̀nà kàɾó ŋgá ŋgá jájàt̪à ɛ̀ðɛ̀,negative,àpɾí,1081.8154296875,38.7798080444336,ǂɒɒɒɒʷɒʷɒbɒɒʷɒɒɒʷǂɒɒɒǂɒɒʷʎɒɒɒɒɒɒɒɒɒʷɒɒɒɒⱱɒʷɒɒʜɒɒⱱ̩ɒbɒⱱfɒɒɒɒɒɒɒɒɒbʷʎbʟɒʟǂǂʷʷɒǂǂɒɒʎʷʷʷbʟbʎbbbɒɒʷʷɒɒɒɒɒɒɒʷɒɒʟɒɒɒɒɒbʷɒɒɒɒɒɒɒǂǂɒɒɒɒɒɒʷʷɒɒɒɒɒɒɒɒǂɒb̩bɒǂǂbɒǂbɒɒʷɒǂiʎbʟʎ̩bbbbǂɒɒǂɒɒɒɑǂʷǂʷɒʷɒɒɒiɒiɒɒǂɒʎɒɒɒǂǂʟɒɒɒᶑɒʷʷʷǂǂoɒɒǂɒɒʷɒɒɒǂɒǂɒɒǂǂɒɒɒɒɒɒɒɒɒɒɒɒɒʟɒɒbʷɒɒɒǂʷɒɒɒɒɒǂbɒǂɒʷɒɒʷɒʷɒɒɒɒɒɒɒɒɒsʟɒɒ
114,1,àn èdɛ̀ɽì kɛ̀ɾɔ́ íŋgá ŕnà ŋrɔ̂bà,negative,àpɾí,765.9926147460938,38.78850555419922,bbɒbɒʎɒɒɒɒɒɒɒɒɒǂbɒbbʎbʎbbb<blk>bɒb<blk>bbɒɒɒɒɒɒɒɒʷʷɒɒɒɒɒbʎbbɒʷʷbʷiɒʷɒɒɒɒɒɒbʷɒɒɒɒɑʷʷʷɑɒɒʷʎ<blk><blk>b<blk><blk>bb<blk>bb<blk><blk>bbbb<blk><blk>bbb<blk><blk><blk><blk>b<blk>bb<blk>b<blk><blk><blk><blk>b<blk>bbb<blk>b<blk>bbbbbbb<blk><blk>b<blk>bʷɒɒʷbbʎbɒɒʷbʷɒɒbɒɒbɑʷʷʷɒbɒ<blk>ʷʎʎɒʷɒɒʷʎɒɒɒʷʷbʷʷbɒ<blk>ʷbbʎbb<blk>b<blk><blk><blk><blk>bbb<blk><blk><blk><blk><blk>bbbbb<blk><blk><blk><blk>b<blk>bb<blk><blk>bbb<blk>ɹbbbɹbbbb<blk>ʎbʎʷbɒbbbʷɒbɒʷbɒbʎbʎʎɒʎbɹ<blk>ɹb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk>
95,1,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá,close_negative,àpɾí,433.5975341796875,38.98268508911133,ʟ<blk>b<blk>bbbb<blk>bbbbbbbʷɒɒɒbbɒʷʎɒbbʷbɒbʷʷʷɒʎɒb<blk>ʷʷʷbbbbʎɒɒɒbʷɒɒɒɑʷɒʷᶑɒɒʷʷɒʷɒʷʷɒɒʷʟʷɒɒɒɒɒʷɸɒʷɒɒɒʷbbb<blk>b<blk><blk>bǂbʷʷɒɒɒʷbɒɒɒʷɒʷʷʷɒbbɒɒbbbbbbbbbb<blk>ɹ
36,11,ŋgɛ́l ŋə̀t̪ə̀vɛ̀ ðár,negative,àpɾí,199.4756622314453,39.041015625,ʟbʜbbʎɹbǂbʎǂǂʷǂǂʜǂǂǂʷʎʛ<blk>ʟbʎʎʟǂʜɹbɗbbʜǂɹǂǂɑʜʷʎʎǂʷʎʜʜʷǂʎʎb<blk><blk>ɹɹ<blk>ɹɹɹ
101,7,àn lə́vàvɾì lá ɛ́làɽà dɔ́ŋðɛ̀,negative,àpɾí,443.3100280761719,39.142574310302734,bbb<blk><blk>ɒ<blk>bbɒɒ̩sɒǂɒɒʷbɒɒɒɒɒɒɒʷɒɒʷɒiɒɒɒɒɒʷɒɒɒʷɒɒɒʷɒɒʟʷʷᶑǂɒʷɒɒɒɒɒɒɒɒɒɒɒɒɒɒɑǂɒɒɒʷɒɒɒɒɒɒɒɒɒɒʷɒʜɒɒɒɒɒɒɒɒɒɒɒbɒbɒʷɒʷǂɒɒɒʷᶑʎɯʎʎ<blk>ħɹ<blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk>
70,2,ɛ́là ðə́t̪ɔ̀ ŋávɛ́ nd̪ɔ̀bà,negative,àpɾí,372.6490478515625,39.21961975097656,bbbbbbbbǂǂǂtǂǂǂʎʎǂbbǂǂǂǂǂǂǂǂɸǂʜǂǂǂǂʎǂʎǂǂbʎbbɹʎbbʎʎbʷǂʎbǂbʎbbʎʎʜǂǂoʎɒǂbʷǂbbǂbbbbbǂʎʷǂǂʙbbbʎʎʎʎʎʷʎbʟbʟɹbbbb
39,14,ðɔ́ ɛ̀ðɛ̀,negative,àpɾí,185.97837829589844,39.23939514160156,bbbbbbʎbʎɒɒbɒɒbɒɒɒɒɒᶑɒɒɒɒɒɒɒɒbɒɒɒɒɒʷɒɒɒʷʷʷʟʷɑʎbʷ<blk><blk>bb<blk><blk>ɹ<blk><blk><blk>b<blk><blk><blk><blk><blk>
63,11,álá ɾɔ́ðà,negative,àpɾí,239.25933837890625,39.24192810058594,b<blk>b<blk>bb<blk>bɒbʷbɒʷɒbʷɒɒɒɒbʷɒɒɑɒʷʷʷɒʷbb<blk>bbbbbbbb<blk>bbb<blk>bb<blk><blk>bb<blk>bbbʷbbbbbbbbbbʷʷbbbbbɒʎbbʕ<blk><blk><blk><blk><blk>b<blk>b<blk><blk><blk>
