àbr̀ó	àbr̀ó
àdám	àdàm	àdám
àn	àn	án
ànàŋá	ànàŋá	ànáŋá	ànŋá
àpìt̪ɔ́	àpìt̪ɔ́
àpɾí	àpɾí	ápɾí
àpɾíɲá	àpɾíɲá	ápríɲá	ápɾíɲá
àré	àré
àt̪á	àt̪	àt̪á
àt̪ùɟâj	àt̪ùɟâj
àðàt̪á	àðàt̪á
àvàn	àvàn	ávàn
àɽàŋgár	àɽàŋgár
àɾl̀á	àɾl̀á
àɾò	àɾò
ábŕt̪ɔ́	ábŕt̪ɔ́
ágá_nɔ́nà	ágá_nɔ́nà
ájà	ájà
álá_ɾɔ́ðà	álá_ɾɔ́ðà
álɛ́	álɛ́
álɛ́là	álɛ́là
ámácí	ámácí
ámúðɛ́	ámúðɛ́
ánó	ánó
árt̪ɔ́l	árt̪ɔ́l	áɾt̪ɔ́l
árt̪ɔ́ló	árt̪ɔ́ló
[so]	[so]
[yeah]	[yeah]
ásà	ásà
áùr	áùr
ávé	ávé
áŋɔ̀ŋnɔ́	áŋɔ̀ŋnɔ́
áɾðɛ̀	áɾðɛ̀
âŋt̪átɛ́	âŋt̪átɛ́
bɛ́tɛ̀n	bɛ́tɛ̀n
dìjɔ́	dìjɔ́	díjɔ́
dó	dó
dún	dún
dɔ̀ŋðɔ́	dɔ̀ŋðɔ́
dɔ́ŋðɛ̀	dɔ́ŋðɛ̀
dɛ̀	dɛ̀
d̪úd̪ɔ̀	d̪úd̪ɔ̀	ðúdɔ̀
èdɔ̀ɽɔ̀	èdɔ̀ɽɔ̀	édɔ̀ɽɔ̀
èdɛ̀ɽì	èdɛ̀ɽì	ìdɜ̀ɽì
èd̪ɛ̀ɾá	èd̪ɛ̀ɾá
èmàɽðɛ́n	èmàɽðɛ́n
éd̪ɛ̀ɾɛ́	éd̪ɛ̀ɾɛ́
ìbɛ́j	ìbɛ́j
ìlŋìnɔ̀	ìlŋìnɔ̀
ìlɛ́ðɛ́	ìlɛ́ðɛ́
ìrí	ìrí	írí
ìt̪rɛ́	ìt̪rɛ́
ìɲárvlɛ̂ðɔ́	ìɲárvlɛ̂ðɔ́
íd̪ɛ́rɛ́n	íd̪ɛ́rɛ́n
ígùn	ígùn
íjɔ̀	íjɔ̀	íjɔ́
íjɛ̀	íjɛ̀
ímìdán	ímìdán
índɔ̀	índɔ̀
ínɔ́nɛ̀	ínɔ́nɛ̀
íðùn	íðùn
íŋgá	íŋgá
íŋgá_nɔ́nà	íŋgá_nɔ̀nà	íŋgá_nɔ́nà
íŋgá_ŕnà	íŋgá_ŕnà	íŋgárnà
íŋgá_t̪ə̀vɔ́	íŋgá_t̪ə̀vɔ́
íŋgáðúɾú	íŋgáðúɾú
íŋgáðə́nɔ̀nà	íŋgáðə́nɔ̀nà
íŋgɛ́lá	íŋgɛ́lá
jàŋú	jàŋú
já_d̪ùɾɔ́	já_d̪ùɾɔ́
jájà	jájà
jájít̪ɔ́	jájít̪ɔ́
jámìɲí	jámìɲí
járà	járà
ját̪ɔ́	ját̪ɔ́
jáðídìjà	jáðídìjà
ìrɔ́	ìrɔ́	ìɾɔ́	íɾɔ́
jàŋàl	jàŋàl
jàŋàlà	jàŋàlà	jáŋàlà
jáŋcìnɛ̀	jáŋcìnɛ̀
jáŋɛ̂_və̀lɛ̀ðɔ́	jáŋɛ̂_və̀lɛ̀ðɔ́
jáɽó	jáɽó
jáɾɔ́jɛ́	jáɾɔ́jɛ́
jìcə̀lò	jìcə̀lò
jìtàn	jìtàn
jígìɲɔ́	jígìɲɔ́
jít̪ɔ̀	jít̪ɔ̀	jít̪ɔ́
jû	jû
jɔ́r̀nɔ́	jɔ́r̀nɔ́
jə̀mɛ̀ɾðɔ́	jə̀mɛ̀ɾðɔ́
jə̀və̀lɛ̀ðɔ́l	jə̀və̀lɛ̀ðɔ́l
jɛ̀gàɾɔ́	jɛ̀gàɾɔ́	jɛ́gàɾó
jɛ́àɽó	jɛ́àɽó
jɛ́gàɾàt̪ɔ́	jɛ́gàɾàt̪ɔ́
jɛ́ùrmùðɔ́	jɛ́ùrmùðɔ́
jɛ́və̀lɛ̀cí	jɛ́və̀lɛ̀cí
jɛ́və̀lɛ̀cɛ̀cí	jɛ́və̀lɛ̀cɛ̀cí
jɛ́ŋgɛ́n	jɛ́ŋgɛ́n
jɛ́ɾɔ̀ðìt̪ɔ́	jɛ́ɾɔ̀ðìt̪ɔ́
jɛ̂	jɛ̂
kà	kà	ká
kà_gáɾìjì	kà_gáɾìjì
kà_ðát̪ɛ̀	kà_ðát̪ɛ̀
kà_ðə́və̀rlɛ̀ðɔ́	kà_ðə́və̀rlɛ̀ðɔ́
kàmìɲí	kàmìɲí
kàrt̪íŋì	kàrt̪íŋì
kàðə́nɔ̀nà	kàðə́nɔ̀nà
kàðɛ́ŋɛ́n	kàðɛ́ŋɛ́n
kàŋ	kàŋ
kàŋú	kàŋú
kàŋúŋ	kàŋúŋ
kàɽə̀ŋàt̪ɔ́	kàɽə̀ŋàt̪ɔ́
kàɾí	kàɾí
kàɾó	kàɾó	kàɾɔ́	káɾɔ́
kàɾú	kàɾú
ká_dɔ̀ŋðɔ́	ká_dɔ̀ŋðɔ́
ká_útìðìjɔ̀	ká_útìðìjɔ̀
ká_ðíɲɔ̀	ká_ðíɲɔ̀
kájì	kájì
kákàŋú	kákàŋú
káló	káló
kápɔ́	kápɔ́
káré	kárè	káré
kát̪àt̪à	kát̪àt̪à
káŋcì	káŋcì
káŋt̪à	káŋt̪à
káŋú	káŋú
káɾɔ́gɛ́	káɾɔ́gɛ́
kèró	kèró
kìcò	kìcò
kìjɔ́	kìjɔ́
kìcəlò	kìcəlò	kìcə̀lò	kícə̀lò
kíjɔ́ŋ	kíjɔ́ŋ
kíðɛ̀	kíðɛ̀
kńnà	kńnà
kòɲá	kòɲá
kùrmùðɔ̀	kùrmùðɔ̀
kújɛ̀l	kújɛ̀l
kúkù	kúkù	kúkú
kúkùŋú	kúkùŋú
kúɽùɔ̀	kúɽùɔ̀
kúɽɛ̀l	kúɽɛ̀l
kɔ̀là	kɔ̀là
kɔ̀lìt̪ɔ́	kɔ̀lìt̪ɔ́
kɔ̀rnɔ́	kɔ̀rnɔ́
kɔ́rì	kɔ́rì
kɔ́t̪ìt̪ìðɔ̀	kɔ́t̪ìt̪ìðɔ̀
kə̀bùlìjí	kə̀bùlìjí
kə̀rŋìt̪ú	kə̀rŋìt̪ú
kə̀rə̀mná	kə̀rə̀mná
kə̀vé	kə̀vé
kə̀və̀lɛ̀ðɔ́	kə̀və̀lɛ̀ðɔ́	kə́və̀lɛ̀ðɔ́
kə̀və̀lɛ̀ðɔ́ŋ	kə̀və̀lɛ̀ðɔ́ŋ
kə̀ðìɲɔ́	kə̀ðìɲɔ́	kə́ðìɲɔ́
kə̀ŋàcá	kə̀ŋàcá
kə̀ŋàcáŋá	kə̀ŋàcáŋá
kə́nɔ̀nà	kə́nɔ̀nà
kə́və̀lɛ̀ðɔ́gɛ́	kə́və̀lɛ̀ðɔ́gɛ́
kə́və̀lɛ̀ðɔ́l	kə́və̀lɛ̀ðɔ́l
kə́ðìɲɔ̀	kə́ðìɲɔ̀
kə́ŋàcí	kə́ŋàcí
kɛ̀ɾɔ́	kɛ̀ɾɔ́
kɛ́	kɛ́
kɛ́cɛ́cí	kɛ́cɛ́cí
kɛ́r	kɛ́r
kɜ́lùŋú	kɜ́lùŋú
kɜ́ŋcɔ̀	kɜ́ŋcɔ̀
là	là	lá
là_dɔ́ŋðɛ̀	là_dɔ́ŋðɛ̀
là_lácì	là_lácì
là_vɾáðɛ̀	là_vɾáðɛ̀
làvə̀ɾà	làvə̀ɾà
làŋìŋnú	làŋìŋnú
lá_bùlìjí	lá_bùlìjí
lá_kɛ́ɾà	lá_kɛ́ɾà
lá_lə̀vcí	lá_lə̀vcí
lá_ŕdà	lá_ŕdà
lá_ŋácà	lá_ŋácà
lá_ɾɔ́ðà	lá_ɾɔ́ðà
lábòt̪ɛ̀	lábòt̪ɛ̀
lábr̀t̪ɛ̀	lábr̀t̪ɛ̀
lápìnɔ́	lápìnɔ́
láɾà	láɾà
láɾl̀à	láɾl̀à
láɾɛ́	láɾɛ́
lâɾò	lâɾò
ldɔ́	ldɔ́
lèdéɲá	lèdéɲá
lìcə̀lò	lìcə̀lò
lìlɔ̀ðɔ́	lìlɔ̀ðɔ́
lí	lí
lídí	lídí
lòlá	lòlá
lòló	lòló
lòtùwɛ́l	lòtùwɛ́l	lótùwɛ́l
lòú	lòú
lòðà	lòðà
lùɾnɔ̀	lùrnɔ̀	lúrnɔ̀
lúbútɛ́	lúbútɛ́
lúɔ́	lúɔ́
lɔ̀mɔ̀	lɔ̀mɔ̀	lɔ́mɔ̀
lɔ́dà	lɔ́dà
lɔ́mɛ́	lɔ́mɛ́
lɔ́ɽá	lɔ́ɽá
lɔ́ɾɔ́	lɔ́ɾɔ́
lə̀bùlìjí	lə̀bùlìjí
lə̀bú	lə̀bú
lə̀dɔ̀ŋðàt̪ɛ̀	lə̀dɔ̀ŋðàt̪ɛ̀
lə̀màð	lə̀màð
lə̀ǹɔ́	lə̀ǹɔ́
lə̀r̀lɛ̀ɲí	lə̀r̀lɛ̀ɲí
lə̀t̪ɾɔ̀	lə̀t̪ɾɔ̀
lə̀vàvrà	lə̀vàvrà	lə́vàvrà	lə́vàvɾà
lə̀və̀lɛ̀ðɔ́	lə̀və̀lɛ̀ðɔ́
lə̀və́r	lə̀və́r
lə̀vɜ̀ɽɔ̀	lə̀vɜ̀ɽɔ̀
lə̀vɾàðɔ́	lə̀vɾàðɔ́
lə́	lə́
lə́t̪ə́vɛ̀	lə́t̪ə́vɛ̀
lə́vàvɾì	lə́vàvɾì
lɛ̀	lɛ̀
lɛ̀gàɾɛ́ŋì	lɛ̀gàɾɛ́ŋì
lɛ̀rdì	lɛ̀rdì
lɛ̀ŋgàló	lɛ̀ŋgàló
lɛ́ŋgɛ́n	lɛ̀ŋgɛ́n	lɛ́ŋgɛ́n
lɛ́là	lɛ́là
lɛ́lɛ́n	lɛ́lɛ́n
lɛ́ŋgáj	lɛ́ŋgáj
lɛ́ɲɛ́	lɛ́ɲɛ́
lɜ̀dí	lɜ̀dí
mùðù	mùðù	múðù
mùðɔ̀	mùðɔ̀	múðɔ̀
ḿɔ́	ḿɔ́
nàré	nàré
nàŋnò	nàŋnò
ndrí	ndrí
ndɔ́n	ndɔ́n
nd̪ɔ̀bà	nd̪ɔ̀bà	nd̪ɔ̀bá
nd̪ɔ̀bàgɛ̀	nd̪ɔ̀bàgɛ̀
nìcə̀lò	nìcə̀lò
nùn	nùn
nùðɛ̀	nùðɛ̀
nɔ̀rnɔ́	nɔ̀rnɔ́
nɔ́kɛ̀n	nɔ́kɛ̀n
nɔ́nɛ̀	nɔ́nɛ̀
nɔ́ŋnɔ̀	nɔ́ŋnɔ̀
