,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
768,21,tútɔ́,negative,ðàŋàl,99.85719299316406,42.742469787597656,b<blk>ɹʟbbbʷb<blk>bbb<blk>ʎbbbɹ<blk><blk>bbbʷʷbbʎ<blk>ʎʎ<blk>bb<blk>bb<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk>b<blk><blk>b<blk><blk><blk>
838,6,àn ŋɛ́n ŋâj ŋáɾl̀ɛ́ŋí búlì,negative,ðàŋàl,460.8136596679688,42.75334167480469,<blk>bbbbbbbɒɒʎɒbɒbʎʷɒbbʷɒbǂbbʷɒɒɒʷʷɒɒʷɒɒɒɒbɒʷɒɒɒɒɒǂbbbbbbbb<blk><blk>bbb<blk><blk><blk><blk>ʷbɒʷɒɒʷɒɒǂɒɒɒbɒʷɒʷbbɒʷbbbbbɒ<blk>bbɒɒɒɒɒɒɒɒ<blk>bbbbbbbbb<blk>bbbbbɒɒʷbbɒʷbbbbbbbbbbbbb<blk>bbb<blk><blk>ɹ<blk><blk><blk>b<blk><blk><blk><blk>bbbb<blk>b<blk>b<blk><blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk><blk>bbbb<blk><blk><blk><blk><blk><blk><blk>b<blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk>b<blk>b<blk>b<blk><blk><blk><blk><blk><blk>b<blk>b<blk><blk>b<blk><blk><blk>b<blk><blk>bb<blk>b<blk>b<blk>bb<blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk><blk>
771,24,ḿɔ́,negative,ðàŋàl,77.05167388916016,42.77128601074219,bbbbbbbbʷʷbʷʷʷbɒbbbbbbbb<blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk>bbbb<blk><blk>ʕ<blk><blk><blk><blk><blk>bb<blk>
836,4,t̪átɛ́ ùnɛ́ɾɛ́ újɛ̀l,negative,ðàŋàl,543.0479736328125,42.85655975341797,bbbbb<blk>bb<blk>bbbbbbbɒɑɒʷʷɒɒɒbɒɒʎbʷʷɒbbbbbʎbbbbbbbbbb<blk>ɹɹb<blk>bbbɒɒɒɒɒɒɒɒbbbbbʎʎbɒɒɒɒɒɒɒɒɒʷʷʷɒɒɒɒɒ<blk>bbbɹbbbbbʷɒbʎʷbʷɒbbbʷbɒʷɒɒɒbʷɒbbɒʷɒbɒbbb<blk>bbbbbʷɒbʷbǂbʷʷɒbɒɒɒʷʎbbbbʷbb<blk>b<blk>bb<blk><blk>ɹbb<blk>bbb<blk>bb<blk><blk><blk><blk><blk><blk><blk>b<blk><blk>bb<blk><blk><blk>b<blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk>b<blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk>bb<blk><blk><blk>bb<blk><blk><blk>b<blk>b<blk><blk>
765,18,ámácí,negative,ðàŋàl,131.33645629882812,42.87680816650391,ʷʷɒʎɒʷbbbʷʎʷɒɒbbbɒbɒfbɒbbbǂɒɒɒɒbɹ<blk><blk><blk><blk><blk>ɹ<blk><blk><blk>b<blk>b<blk>bb<blk><blk><blk>b<blk>bbbb<blk><blk><blk><blk><blk>
837,5,àn ɔ́ɟɔ́ kə́ŋàcí kúkù ðɔ̀ndà,negative,ðàŋàl,380.1606140136719,42.96308135986328,b<blk>bbb<blk>bbɒbbʎbbbʷbʎbbb<blk>bbbbɑbbbb<blk>bbbbʷbbbbb<blk>bbʷbbbb<blk>b<blk><blk>b<blk>b<blk>bbb<blk>bbbbb<blk>bbbb<blk>bbbʷbbbb<blk>ʷbbbbbbbbbbbbb<blk>b<blk>b<blk><blk>bbb<blk>bbbbbbbb<blk>b<blk>bb<blk><blk>b<blk>bbbbbbbbb<blk>bbbb<blk>bbbbbbbb<blk>b<blk><blk><blk>ɹ<blk><blk><blk><blk>bb<blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk>b<blk><blk>b<blk><blk>b<blk><blk>b<blk><blk>b<blk><blk>b<blk><blk>b<blk><blk><blk>b<blk>b<blk><blk><blk>b<blk>b<blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk>b<blk><blk><blk>b<blk>b<blk><blk><blk>b<blk>b<blk><blk><blk><blk><blk><blk><blk>bb<blk><blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk>
764,17,ŋìðɛ̀ní ŋʊ̀dó,negative,ðàŋàl,156.09445190429688,43.056396484375,ǂɒʎɒɒɒɒɒɒʎɒɒɒɒɒɒʷɒbbbɒɹʎʎɒʎɒɒʷɒɒbbbbbbbbbbbbɹ<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk>b
770,23,kɛ́ɾá nɔ́ðɛ̀,negative,ðàŋàl,96.18463134765624,43.353641510009766,ʷʷɒɒɒʷɒɒɒbbɒʷʷɒʎʷʎbɒɒɒɒɒbɹbb<blk>b<blk><blk><blk>b<blk><blk><blk><blk><blk>b<blk><blk>b<blk>b<blk><blk>bb<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk>bb
762,15,ɾácí ŋávɛ́,negative,ðàŋàl,172.44512939453125,43.47724151611328,ɒʷɒbɒɒɒʷʟʷʎɒʟbbbǂǂʷɒǂbʷǂʷɒɒbɒʷɒʷʜʷbʟʷʷbɒbǂbbɒɒʟǂ<blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk>b<blk>
839,7,ɛ̀làɽà kə́ðìɲɔ̀ mùðù nd̪ɔ̀bà,negative,ðàŋàl,545.1597290039062,43.49559020996094,ʛɒɒɒʷɒʷɒɒɒǂʷɒɒʷʷɒɒɒɒɒɒǂǂɒɒbʷbbɒɒɒǂɒʷɒʷiɒǂʎʷʷʷɒɒɒɒɒɒɒʷᶑɒɒɒɒɒʷbɒɒɒbbbbbbbb<blk>bbbbbbbb<blk>bb<blk>bɒbbbb<blk>bb<blk><blk>ɒbɒʷɒɒɒɒʷɒɒɒɒʷʎɒɒʎɒɒɒʷɒɒɒʜǂɒɒǂɒɒɒɒɒɒɒɒɒɒᶑʎbʎbbbb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk>bb<blk>bb<blk>b<blk><blk>b<blk><blk><blk><blk>bb<blk><blk>b<blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk>bb<blk><blk><blk><blk>bb<blk><blk><blk>b<blk>b<blk><blk><blk>b<blk><blk>b<blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>bb<blk><blk>b<blk><blk>b<blk><blk>b<blk><blk>bbb<blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk>bb<blk>
726,6,kúkù kà ðát̪ɛ̀ ɛ̀ðɛ̀ ánó dún,negative,ðàŋàl,302.5433349609375,43.54407501220703,b<blk>bbb<blk><blk><blk>bbb<blk><blk>b<blk><blk>bb<blk><blk><blk>bb<blk>bbbb<blk><blk>b<blk>bbbb<blk>b<blk>bbb<blk>bbbbbbʎbbbʎbbbbbbbbbbbɹbbbbb<blk>bbbb<blk>bbbbb<blk>bbbbbbɹbbb<blk><blk>bbʎʎ<blk>b<blk>bbbb<blk>bʎbbbʎbbbbbbbbb<blk>ɹ<blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk>b<blk><blk><blk>
763,16,áɾðɔ́ t̪ɔ́wɜ̀nì,negative,ðàŋàl,153.35997009277344,43.98024368286133,bɒɒbɒɒɒɒɒʷɒɒʷʷɒʷʷɒbɒbʷbbʷbbbɒbbbɒbɒʎbɒbʷbbbbb<blk>b<blk>bb<blk><blk><blk>b<blk><blk><blk><blk><blk>bb<blk>
833,1,jàŋàl jə̀və̀lɛ̀ðɔ́l lâɾò ùnɛ́ɾɛ́,close_negative,ðàŋàl,794.0516357421875,44.1192626953125,bbbʟɒb<blk>bɑɒɒǂɒɒɒɒʷʷʷɒʷɒʷɒʷɑʷɒɒɒɒɒʷɒɒɒɒɒɒʷʷɒbbbbbb<blk>bbbbʷb<blk>b<blk>bb<blk>bbbb<blk>bʷbʷɒbʷɒʟʷɒʷɒɒɒɒʷɒɒǂʷɒʷʷɒʷǂɒʷɒɒɒɒᶑɒɒʷɑɒʟʷɒɒɒɒʷɒɒɒɒʷʷʷʎbbbb<blk>bbʷbʎbbbbbbbbbbbʟbʷʷbbʟbbbbbbbbbbbbbbbb<blk>bbbʎbʎʷʷɒʷ<blk>ɒɒɒɒɒǂɒɒɒʷʎɒɒɒɒɒɒɒʷʷʎɒɒʎɒɒɒǂɒʷɒɒʎǂʷʷɒǂɒʷǂʷɹbɹʎ<blk><blk><blk>b<blk>bb<blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>bb<blk>bb<blk><blk>b<blk>b<blk>
744,15,ɔ̀ɽá t̪ə̀mànì,negative,ðàŋàl,215.1305694580078,44.3973388671875,<blk>bbbbbbbbɒʷbbɒɒbɒʷɒɒɒbɒɒɒʷʷɒɒbɒɒɒʷbbbbbɒʟbbbbbbbɒʎbɒbɒɒbʷɹɑʎbʟʟb<blk><blk><blk><blk>b<blk><blk><blk>b<blk>
728,8,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá,positive,ðàŋàl,404.5060424804688,44.44322204589844,<blk><blk><blk><blk>bbb<blk><blk>bbbbʎɒbʷɒʎbɒɒʎɒʷɒbʎʎʷbʷbbbɒǂbɒʷʎɒɒɒɒɒɒʎɒɒʷbʷbɒbɒɒbbɒʷɒʷbʎʷʷʷbbɒbbbʎbɹbbbbbbbbbʎbɹbb<blk>bbbbbɒbbɒʷʷʷʎbɒbɒɒʎbʎbʟbbɹɹ<blk><blk><blk><blk>ɹ<blk><blk><blk><blk>b<blk>b<blk><blk>b<blk><blk>bb
760,13,ðólá t̪à,negative,ðàŋàl,131.82015991210938,44.53777694702149,b<blk>bbbbbbbbbbbbb<blk>bbbbʷbʷbbbbb<blk>bbbbb<blk>bbb<blk>b<blk><blk>bbbb<blk>ɹ<blk><blk><blk><blk>b<blk><blk><blk><blk><blk>b<blk><blk>b
761,14,ját̪ɔ́ ŋɔ̀mɔ̀,negative,ðàŋàl,152.0692596435547,44.60176086425781,bbbbbbɹbʎʎɒɒbbbbʷɒǂʷɒɒb<blk>ɒʷɒɒɒɒʷʎʎɒɒɒ<blk>ʟbɒ<blk>bbbbbbbb<blk><blk>b<blk><blk><blk><blk><blk><blk>b<blk><blk><blk>
739,10,rə̀mt̪ kìcə̀lò,negative,ðàŋàl,191.04725646972656,44.60786056518555,bb<blk><blk><blk>bbbbɒbǂʎbɒɒʎʎbʎbʎbbbbbbbbbbʟb<blk><blk>b<blk>bbbbɑbbb<blk>bɒ<blk>ɒ<blk>ʎ<blk>b<blk>bbbbʎbbb<blk>bbb<blk>b<blk>b<blk><blk>
723,3,àn ŋɔ́ðɛ́ pɔ́ nɔ́nɛ̀ ðàŋàl únɛ́ɾɛ́,positive,ðàŋàl,397.8312377929688,44.61015319824219,bbb<blk><blk>b<blk>b<blk>b<blk>bʷbbbbʎbbʎbbbbɒɒɒʷʎɒɒɒʷɒʷɒʜɒʷʷɒʎʷ<blk>ɒb<blk>ɒbʎɒɒʎbbʎʎʎbbʎbʎbʎbʎbɹʎbɒ<blk>bbɒ<blk>ɒbbbbbʎbbʎʎʎʎʎʎbʎʎb<blk><blk>bʎʎbbbbbbbbbbbbɒʷbbbbbbbbbb<blk>bb<blk>b<blk>bb<blk><blk><blk>b<blk>
746,17,ɲə̀və̀lɛ̀ðáŋà,close_negative,ðàŋàl,227.5995941162109,44.7391357421875,<blk>bbb<blk><blk><blk><blk>bbɒʎʎɒɒʷʷɒɒʷɒɒbɒʷʷbɒʷɒɒɒɒɒbɒɒɒʷʷbɒɒʷɒʷɒʷɒɒʷʎbʎɒɒɑɒɒɒʎbbʎ<blk>b<blk><blk><blk>b<blk><blk><blk>b
831,9,ká nɔ́nà lɛ̀ŋgàló t̪àwìðì,negative,ðàŋàl,310.1666259765625,44.91545104980469,b<blk>bbbbbb<blk>bbbb<blk>b<blk>bbʷbɒɒʎɒʷʎʎɒɒʷʷʷɒbbʷɒɑɒɒɒɒɒbɒbɒ<blk>ɒɒbʎ<blk>bɒbɒɒbʷbʷɒɒbb<blk>ʎbʎbbbbʷ<blk>b<blk><blk>ɒɒbbɒʎ<blk>bʎbɒ<blk>bbb<blk><blk>b<blk><blk>bb<blk><blk>bb<blk><blk>b<blk>bbb<blk><blk>bb<blk><blk><blk>
820,9,ðàŋàl ðə̀mɛ̀rðɔ́ ápɾíɲá,positive,ðàŋàl,326.39312744140625,44.91687774658203,b<blk>bbb<blk>bbbbʛbbbɒbɒɒʷɒʷbɒɒbʷbbɒɒʷbɒɒɒʎbb<blk>bʷɒʷʷbbɒbʎbʎbʎʎbbɒɹzʎbbbbʷʷʷʷbbʷʷʷʷbbb<blk><blk>bbɒʷbbbbʷbɒbɒbʷbbb<blk>b<blk><blk><blk>bb<blk>bɹ<blk><blk>
759,12,ðɔ́ ɛ̀ðɛ̀,negative,ðàŋàl,192.76657104492188,44.96931076049805,bʎbʎbʎʎʎɑʷɒɒɒʷɒɒɒɒǂɒʷɒǂɒʷɒbɒɒɒɒbɒɒɒɒɒᶑɒɒɭʟʷɒʷbʎʎ<blk>bb<blk><blk>ɹ<blk><blk>b<blk><blk><blk>b<blk>
775,3,álá ɾɔ́ðà,negative,ðàŋàl,230.22146606445312,44.9927864074707,bbb<blk>b<blk><blk>bɒɒbɒʷɒɒɑɒɒɒʷʷɒɒɒʷɑbbɒʷʷbbb<blk>bbbbbbb<blk>bbbb<blk>b<blk>b<blk><blk><blk><blk>bbbbb<blk>bb<blk>ɒbb<blk>ɒʷbbɒɒb<blk>bbbbbbbb
766,19,íjɔ́ ɛ́ðɛ̀,negative,ðàŋàl,124.74453735351562,45.07594680786133,bb<blk>bʎbǂʎʎʎʜǂbbʎbbǂbbbɒbbɹʷbǂbbbb<blk>bʟɹɹʕɹbɹb<blk>b<blk><blk>ɹ<blk><blk>bʕ<blk>bb<blk>ɹɹ<blk>ɹb<blk><blk>
749,2,ðìjɔ̀ ðìcə̀lò,negative,ðàŋàl,198.4063720703125,45.10674285888672,bbbb<blk>bb<blk>bbɒbbɒɒɒbɒbbbɒɒɒɒʷbɒɒɒɒʷbɒbɒbbᶑʷʷbɒʎɒɒɒɒbʷbɒbɒbbbbbbbb
797,11,lə́lə̀ŋáɲà lìcə̀lò,negative,ðàŋàl,285.11639404296875,45.15884399414063,bb<blk>bbbb<blk><blk>ʷʷbɒbbʷbbbʎbɒɒɒʷɒʷbʷʷɒɒbɒʷbɒɒɒʷʷɒʎʷɒʷɒɒɒɒɒɒʷbɹɒɒʷɒbɒbbbʷʷ<blk>ʷʷbʷʎʎɹbbbbb<blk><blk>bb<blk>bbb<blk>b<blk><blk>b<blk>b
