keyword,keyword_id,sentence_id,translation,original_sentence,textnorm_sentence,audionorm_sentence,audio_quality,comment
àpɾí,0.0,484,The boy will pull me here tomorrow.,àpɾí jǎŋîvlɛ̀ðɔ́ ǹdòbàgɛ̀,àpɾí jáŋɛ̂_və̀lɛ̀ðɔ́ nd̪ɔ̀bàgɛ̀,,,
àpɾí,,4381,every boy broke his stick,kńnà àpɾí jɛ̀gàrɔ́ ðówɛ́ íðùn,kńnà àpɾí jɛ̀gàɾɔ́ ðówɛ́ íðùn,,,
àpɾí,,6755,the boy wants to eat the meat,àpɾí jâdùɾɔ́ ðíjá ɛ́ðɛ̀,àpɾí já_d̪ùɾɔ́ ðíjá ɛ́ðɛ̀,,,
ðɔ̀mɔ̀cɔ̀,,3326,The man wrestled him,kə̀bùlìjí ðɔ́mɔ̀cɔ̀,kə̀bùlìjí ðɔ́mɔ̀cɔ̀,,,
àpɾí,,20254,the boy grandpa said the lion bit is small,àpɾí jáɾɔ́jɛ́ ùɾnɔ̀ t̪á jàmə̀ɾðɔ́ t̪ʊ̀lí jɛ̀tàn,àpɾí jáɾɔ́jɛ́ ùrnɔ̀ t̪á jə̀mɛ̀ɾðɔ́ t̪ùdí jìtàn,,,
àpɾí,,20057,the boy his mother loves is happy,àpɾí jámìɲí lɛ́ŋgɛ́n jámìɲí ðíɲɔ̀,àpɾí jámìɲí lɛ́ŋgɛ́n jámìɲí ðíɲɔ̀,,,
àpɾí,,18157,the boy was shown to Kuku (and left),àpɾí jǎŋcìnɛ̀ kúkùŋú,àpɾí jáŋcìnɛ̀ kúkùŋú,,,
àpɾí,,17481,the boy is sitting in the tree (in the branches),àpɾí jáðídìjà ðúɽí kàɾí,àpɾí jáðídìjà ðúɽí kàɾí,,,
àpɾí,,6786,the boy whose pot the dog fell onto is sad,àpɾí jɛ́ŋgɛ́n ŋídɔ̀t̪ɔ́ lídí nànòǒ jɛ̀ɽò ánò,àpɾí jɛ́ŋgɛ́n ŋídɔ̀t̪ɔ́ lídí nə̀ǹɔ́ jɛ́àɽó ánó,,,
àpɾí,,5851,grandfather said the boy will eat what?,ùɾnɔ̀ káɾɔ́ àpɾí jájà ɔ́ndì,ùrnɔ̀ káɾɔ́ àpɾí jájà ɔ́ndì,,,
ðɔ̀mɔ̀cɔ̀,,683,The man pulled the sheep away,ðɔ̀mɔ̀cɔ̌ ðàvə́lɛ̂ðɛ̀ ðàŋàlà,ðɔ̀mɔ̀cɔ̀ ðà_və́lɛ̀ðɛ̀ ðàŋàlà,,,
ðɔ̀mɔ̀cɔ̀,,3320,The man wrestled the boy,ðàmɔ̀cò ðə̀bùlìjí ápríɲâ,ðɔ̀mɔ̀cɔ̀ ðə̀bùlìjí ápɾíɲá,,,
ðɔ̀mɔ̀cɔ̀,,5040,I broke the man's gourd,jígíɲɔ́ ðɔ̀ndà ðɛ́ ðɔ̀mɔ̀cɔ̀,jígìɲɔ́ ðɔ̀ndà ðɛ̀ ðɔ̀mɔ̀cɔ̀,,,
ðɔ̀mɔ̀cɔ̀,,5042,I broke the man's elbow,jɛ́gàɾɔ́ lòlá lɛ́ ðɔ̀mɔ̀cɔ̀,jɛ́gàɾó lòlá lɛ̀ ðɔ̀mɔ̀cɔ̀,,,
ðɔ̀mɔ̀cɔ̀,,5045,"The man's elbow, I broke it",lòló lɛ́ ðɔ̀mɔ̀cɔ̀ lɛ̀gàɾɛ́ɲì,lòló lɛ̀ ðɔ̀mɔ̀cɔ̀ lɛ̀gàɾɛ́ŋì,,,
ðɔ̀mɔ̀cɔ̀,,6351,That's the man.,ǎn ðɔ̀mɔ̀cɔ̀ ðɔ̀n,àn ðɔ̀mɔ̀cɔ̀ ðɔ̂n,,,
ðɔ̀mɔ̀cɔ̀,,15663,What will the man pull tomorrow? ,ðə̀mɔ̀cɔ́ ðávə̀lɛ̀ðà ɔ̀ndi nd̪ɔ̀bà,ðɔ̀mɔ̀cɔ̀ ðá_və́lɛ̀ðà ɔ̀ndì nd̪ɔ̀bà,,,
ðɔ̀mɔ̀cɔ̀,,16669,The man took meat from the boy yesterday,ðàmɔ̀cò ðǎpàt̪ɛ̀ àpríɲá èðè ùnɛ̀ɾɛ̀,ðɔ̀mɔ̀cɔ̀ ðápàt̪ɛ̀ àpɾíɲá ɛ̀ðɛ̀ ùnɛ́ɾɛ́,,,
ðɔ̀mɔ̀cɔ̀,,3299,the man is good.,ðɔ̀mɔ̀cɔ̀ ðìcə̀lò,ðɔ̀mɔ̀cɔ̀ ðìcə̀lò,,,
àpɾí,,506,The boy will pull us excl. here tomorrow,àpɾí ìɲárvlɛ̂ðɔ́ ǹdòbàgɛ̀,àpɾí ìɲárvlɛ̂ðɔ́ nd̪ɔ̀bàgɛ̀,,,
lɛ́ŋgɛ́n,,1139,he saw his mother,jáŋʊ́ lɛ̂ŋgɛ̌n,jàŋú lɛ́ŋgɛ́n,,,
lɛ́ŋgɛ́n,,2276,The baby (or kitten) resembles its mother,ɔ̀ɾá kɔ̀lit̪ɔ́ lɛ́ŋgɛ̀n,òɾà kɔ̀lìt̪ɔ́ lɛ́ŋgɛ́n,,,
lɛ́ŋgɛ́n,,3637,His/Her mother is tall,lɛ́ŋgɛ́n kɔ̀là,lɛ́ŋgɛ́n kɔ̀là,,,
lɛ́ŋgɛ́n,,4637,It (the small donkey) resembles it's mom (exactly),sòɽìt̪ɔ́ líŋgɛ́n gálò,sɔ̀ɽìt̪ɔ́ lɛ́ŋgɛ́n káló,,,
lɛ́ŋgɛ́n,,5299,I visited Kuku's mother,jɛ̀vlɛ̀cí lɛ̂ŋgɛ́n kɛ́ kúkù ŋà,jɛ́və̀lɛ̀cí lɛ́ŋgɛ́n kɛ́ kúkù ŋà,,,
lɛ́ŋgɛ́n,,6704,they will help mom inside tomorrow (far),lá ɔ̀ɽcàcí lɛ́ŋgɛ́n ánó ɛ̀ɽɛ̀ nd̪ɔ̀bà,lá ùɽcàcí lɛ́ŋgɛ́n ánó ɛ́ɽɛ́ nd̪ɔ̀bà,,,
lɛ́ŋgɛ́n,,16995,I visited Kuku's mother,jɛ́vlɛ̀cɜ̀cí kúkùŋú lɛ́ŋgɛ́n ígùn,jɛ́və̀lɛ̀cɛ̀cí kúkùŋú lɛ́ŋgɛ́n ígùn,,,
lɛ́ŋgɛ́n,,20057,the boy his mother loves is happy,àpɾí jámìɲí lɛ́ŋgɛ́n jámìɲí ðíɲɔ̀,àpɾí jámìɲí lɛ́ŋgɛ́n jámìɲí ðíɲɔ̀,,,
lɛ́ŋgɛ́n,,6408,they will braid each other's hair for their mother,lá kɔ́t̪ìt̪ìðɔ̀ lɛ̀ŋgɛ́n ìɾɔ́,lá kɔ́t̪ìt̪ìðɔ̀ lɛ̀ŋgɛ́n ìɾɔ́,,,
lɛ́ŋgɛ́n,,11499,Kuku will introduce me to his mom,kúkù káŋcɔ̀ lɛ̀ŋgɛ̀n ŋîŋ,kúkù káŋcì lɛ̀ŋgɛ́n ŋîŋ,,,
ŋɔ̀ɽíŋgɔ́,,5097,The donkey is big.,ŋɔ̀ɽíŋgɔ́ ŋə̀ɽà,ŋɔ̀ɽíŋgɔ́ ŋə̀ɽà,,,
ŋɔ̀ɽíŋgɔ́,,5109,They rode the donkey (and left),lábrt̪ɛ̀ ŋɔ̀ɽíŋgɔ́ ʊ̀nɛ̀ɾɛ̀,lábr̀t̪ɛ̀ ŋɔ̀ɽíŋgɔ́ ùnɛ́ɾɛ́,,,
ŋɔ̀ɽíŋgɔ́,,13712,They will give the donkey food tomorrow.,lá ŋácà ŋɔ̀ɽíŋgɔ́ ŋɔ̀mɔ̀ nd̪ɔ̀bà,lá ŋácà ŋɔ̀ɽíŋgɔ́ ŋɔ̀mɔ̀ nd̪ɔ̀bà,,,
ŋɔ̀ɽíŋgɔ́,,14041,The donkey pulled the root away yesterday,ŋɔ̀ɽíŋgɔ́ ŋàvə́lɛ̀ðɛ̀ ðɛ̀dɔ̀ɽɔ̀ unɛɾɛ,ŋɔ̀ɽíŋgɔ́ ŋà_və́lɛ̀ðɛ̀ ðə̀dɔ̀ɽɔ̀ ùnɛ́ɾɛ́,,,
ŋɔ̀ɽíŋgɔ́,,14333,He ate food and rode the donkey yesterday (here),kìjɔ́ ŋɔ́mɔ̀ nɛ̀ ŋábr̀t̪ɛ̀ ŋɔ̀ɽíŋgɔ́ unɛɾɛ,kìjɔ́ ŋɔ́mɔ̀ nɛ̀ ŋábr̀t̪ɛ̀ ŋɔ̀ɽíŋgɔ́ únɛ́ɾɛ́,,,
ŋɔ̀ɽíŋgɔ́,,14342,They will go to ride the donkey tomorrow,lɛ́là ðábr̀t̪à ŋɔ̀ɽíŋgɔ́ nd̪ɔ̀bà,lɛ́là ðábr̀t̪à ŋɔ̀ɽíŋgɔ́ nd̪ɔ̀bà,,,
ŋɔ̀ɽíŋgɔ́,,14528,The donkey will pull the root towards tomorrow.,ŋɔ̀ɽíŋgɔ́ ŋávə̀lɛ̀ðɔ́ ðɛ́dɔ̀ɽɔ̀ nd̪ɔ̀bà,ŋɔ̀ɽíŋgɔ́ ŋá_və̀lɛ̀ðɔ́ ðɛ́dɔ̀ɽɔ́ nd̪ɔ̀bà,,,
ŋɔ̀ɽíŋgɔ́,,15637,Donkey bit boy,ŋɔ̀ɽíŋgɔ́ ŋàmɔ̀rðápríɲâ,ŋɔ̀ɽíŋgɔ́ ŋàmɔ̀rðɔ́ ápríɲá,,,
ŋɔ̀ɽíŋgɔ́,,14044,The donkey pulled it (the root) away yesterday,ðà ŋɔ́ɽíŋgɔ́ və̀lɛ̀ðɛ̀ unɛɾɛ,ðà ŋɔ́ɽíŋgɔ́ və̀lɛ̀ðɛ̀ únɛ́ɾɛ́,,,
ŋɔ̀ɽíŋgɔ́,,14339,Riding the donkey is good,ðábŕt̪á ŋɔ́ɽíŋgɔ́ ðìcə̀lò,ðábŕt̪á ŋɔ́ɽíŋgɔ́ ðìcə̀lò,,,
mùðù,,1499,I am seeing a leopard now,íŋgáðə́nònnà mùðù t̪ówànì,íŋgáðə́nɔ̀nà mùðù t̪ɔ́wɜ̀nì,,,
mùðù,,1504,The leopard is very tall.,mùðù kɔ̀lá íjé ánú vr,mùðù kɔ̀là íjɛ̀ ánó vr,,,
mùðù,,1510,The leopard is very bad.,mùðù kəcó ŋámɽáɾè,mùðù kìcò ŋámɽáɾɛ̀,,,
mùðù,,1521,Leopard cannot be killed with a stick.,mùðǔ ŋ̀gáɽíɲînɔ̀ làvràlè dè,mùðù ŋgá_ɽíɲìnɔ̀ làvə̀ɾà lɛ̀ dɛ̀,,,
mùðù,,1528,The leopard is in the family of the lion.,mùðǔ án ŋɔ́lá ŋʊ́t̪òlíŋâ,mùðù àn ŋɔ́lá ŋú t̪òlé ŋá,,,
mùðù,,1532,Leopard has a lot of power/is very powerful.,mùðú kòɲá ŋámánú ŋàmɽárè,mùðù kòɲá ŋá_mànú ŋàrɽàt̪ɛ̀,,,
mùðù,,1540,Leopard often stays up in the trees.,mùðù ŋgádíjɜ̌ úɽǐ ɛ́ló àvàn,mùðù ŋgá_díjà úɽì ɛ́lɔ́ àvàn,,,
mùðù,,8294,leopard feared the farmer yesterday/farmer feared the leopard yesterday,mùðù kə̀ðìɲɔ́ ɛ́làɽà ùnɛ̀rɛ̀,mùðù kə̀ðìɲɔ́ ɛ́làɽà ùnɛ́ɾɛ́,,,
mùðù,,8348,where did the leopard kill the sheep? ,mùðù kə̀ɽìŋàt̪ɔ́ ðáŋàlà ŋ̀gà,mùðù kàɽə̀ŋàt̪ɔ́ ðáŋàlà ŋgà,,,
mùðù,,16482,The leopard is good,mùðù kèclò,mùðù kìcə̀lò,,,
ùɾnɔ̀,,853,Who did grandfather say ate (it) yesterday? ,àn ɔ́ɟɔ́ kârɔ́gɛ́ ùrnɔ̀ kìjó ùnɛ̀rɛ̀,àn ɔ́ɟɔ́ káɾɔ́gɛ́ ùrnɔ̀ kìjɔ́ ùnɛ́ɾɛ́,,,
ùɾnɔ̀,,864,grandfather said that Kuku ate it (sheep) yesterday,ùrnɔ̀ kàró ðìjó kúkù ùnɛ̀rɛ̀,ùrnɔ̀ kàɾó ðìjɔ́ kúkù ùnɛ́ɾɛ́,,,
ùɾnɔ̀,,1104,grandfather liked the song the boy sang,ùrnɔ̀ kàmìɲí ðə́lə̀ŋà ðálə̀ŋɔ́ áprì,ùrnɔ̀ kàmìɲí ðə́lə̀ŋà ðálèŋɔ́ ápɾí,,,
ùɾnɔ̀,,1821,grandfather/grandmother is good,ùrnɔ̀ kìcə̀lò,ùrnɔ̀ kìcə̀lò,,,
ùɾnɔ̀,,1822,Grandfather pulled the sheep here,ùrnɔ̌ kə̀və̀lɛ̀ðɔ́ ðáŋàlà,ùrnɔ̀ kə̀və̀lɛ̀ðɔ́ ðáŋàlà,,,
