file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
123,0.0,6.285,himidan,-48.08763910969793,-50.38559132237588,10.627909476550712,12.521643584807434
8634,0.0,3.36,himidan,-44.759774344308035,-45.640595285516035,9.507514428543228,4.163823514973545
17796,0.0,4.25,himidan,-52.42633731617647,-56.9592612584432,9.156182056490454,10.8670139545792
4026,0.0,3.0,himidan,-46.73379557291667,-46.34465898786272,9.013586541504056,9.888649817558276
2514,0.0,3.715,himidan,-51.63630922379032,-51.41814613342285,8.90148942202255,13.957170877499397
6879,0.0,2.19,himidan,-44.97476098744292,-47.39360376993815,8.05288027487172,5.80431917917543
2606,0.0,3.53,himidan,-45.61358556126062,-46.1071064597682,7.311709354659963,6.721704067657342
4050,0.0,5.578,himidan,-41.752037130376344,-47.510596002851216,7.129988924439142,6.515039958745737
16169,0.0,2.107,himidan,-52.970272696978675,-54.07956768217541,7.046915177193759,18.424098470210815
1383,0.0,2.868,himidan,-55.108810158972126,-57.43373918533325,6.676244175662586,8.341165170271577
19403,0.0,3.44,himidan,-59.499551462572676,-58.84151632135565,6.4230328153462475,3.200747379688872
16214,0.0,2.92,himidan,-57.43388805650685,-53.582650643807874,6.114374126218193,10.452436068321507
2865,0.0,2.099,himidan,-40.92010788690476,-47.36413129170736,5.930984178914665,5.20259358651305
17857,0.0,4.46,himidan,-53.43402291199551,-57.53019428253174,5.929013721809929,6.241208024399846
16312,0.0,2.267,himidan,-57.588901603799556,-58.60532887776693,5.549904506409677,10.109446734329193
1374,0.0,2.393,himidan,-51.58464631276151,-55.47293400764465,5.299606957536398,7.399569878621044
17564,0.0,5.79,himidan,-46.57492039075993,-46.699589578728926,5.23861993797094,4.345778388675214
4864,0.0,1.564,himidan,-46.65340795272436,-51.32749962806702,5.160196216106259,2.0465567364998947
1747,0.0,2.384,himidan,-57.730259486607146,-58.92899068196615,5.083192176539202,6.8503947576647874
4041,0.0,4.176,himidan,-45.549075770035884,-48.361523663556135,5.068044711774169,8.127708426840734
2290,0.0,4.651,himidan,-50.291771673387096,-53.046377596647844,5.0376456040082225,6.393908218292653
8317,0.0,2.76,himidan,-40.43741154325181,-43.29105987548828,4.95223562016022,13.215335587671763
3824,0.0,3.933,himidan,-55.80923485209924,-58.84630730038597,4.936120171345987,5.902029668746408
9987,0.0,1.58,himidan,-43.9181387213212,-45.98010368347168,4.850850367870468,4.18664382016828
1389,0.0,3.336,himidan,-54.445365129116766,-58.7249340057373,4.799010927358964,9.907803530801008
636,0.0,3.718,himidan,-41.733860467069896,-43.474026555600375,4.73087474898039,9.262923406211595
4054,0.0,4.388,himidan,-43.92562108485193,-46.28318138122559,4.646337404076373,10.163832941860601
2573,0.0,4.36,himidan,-45.34673792287844,-47.2381477355957,4.5487151501043535,10.17435359722867
18366,0.0,5.0,himidan,-46.19401171875,-46.86685627528599,4.548712166325545,9.38100307536611
6604,0.0,2.076,himidan,-42.86944110576923,-43.02600114995783,4.481491703496957,2.851266627950821
16994,0.0,3.272,himidan,-42.81326153956422,-43.98875610033671,4.314308934186199,3.29676260692548
4639,0.0,2.24,himidan,-60.202383858816965,-61.084230086382696,4.298416389070935,2.554300661740843
4421,0.0,2.932,himidan,-43.61880732721843,-46.14964141845703,4.230903332822851,11.36716815582274
4400,0.0,3.973,himidan,-40.514968218671285,-43.270804484685264,4.182717495857414,7.247622380442035
18278,0.0,4.535,himidan,-42.83970608480176,-46.13673056325605,4.1744386229368455,9.005371382251674
4414,0.0,6.426,himidan,-38.30971763219284,-41.044623250546664,4.15691662682122,8.06564460018087
4435,0.0,4.351,himidan,-41.99953304597701,-45.38423299789429,4.141083360615886,8.506129564912312
14024,0.0,1.739,himidan,-44.474988213900865,-44.803824954562714,4.11213358951045,8.204580235428345
8604,0.0,2.28,himidan,-42.09240936814693,-43.26954832531157,4.086942952843688,7.619820720135072
17551,0.0,3.32,himidan,-44.641525084713855,-48.28025481280159,4.050235459417503,4.3087203211853495
14023,0.0,2.102,himidan,-41.44634486607143,-44.2219856262207,4.050235459417503,9.577181568297702
4051,0.0,4.255,himidan,-45.1973710754108,-47.757685797555105,4.048120611816324,9.393309549310077
6786,0.0,4.593,himidan,-39.41551351443355,-42.36434292793274,3.9730132434905028,6.001306656871911
14021,0.0,2.098,himidan,-45.60929129464286,-43.192215692429315,3.9614458420650167,9.11971445527356
11399,0.0,1.98,himidan,-51.19294014362374,-53.1299917432997,3.9316786970070248,6.329936468231917
4423,0.0,3.534,himidan,-42.47071142439802,-44.15194441142835,3.927454532517197,10.058025613473129
10569,0.0,2.6,himidan,-43.47806865985577,-43.74405066172282,3.9274539821301926,8.301915176923105
20100,0.0,4.15,himidan,-45.801440135542165,-46.79932998657227,3.841893287357883,7.204949898647314
1376,0.0,2.681,himidan,-53.92271673857276,-60.036760568618774,3.8298996152619673,10.998661861512936
14847,0.0,1.93,himidan,-43.22912281411917,-43.471280549701895,3.8298993746525487,6.662298831689018
8625,0.0,2.31,himidan,-43.86955492424242,-44.62147445678711,3.809636013069877,4.693214659600306
625,0.0,2.809,himidan,-38.611901551379006,-45.3726001219316,3.797822223755256,7.549509434849359
6704,0.0,4.04,himidan,-43.96467454362624,-46.63010726928711,3.797821850782905,7.733561482031927
19546,0.0,5.333,himidan,-47.853306754221386,-47.99145572835749,3.7899058805356143,3.5425858008782765
17919,0.0,4.53,himidan,-54.39047409630243,-56.97301493750678,3.7899058805356143,3.294970033110385
17455,0.0,4.918,himidan,-45.59095528455285,-49.22654250572468,3.7638474007172915,8.407927203853374
5357,0.0,2.17,himidan,-43.3344974078341,-43.129415321350095,3.7427749251369393,3.232321396304709
4415,0.0,4.567,himidan,-40.1297054499453,-40.390639346578844,3.694702064695429,7.06251740333577
14502,0.0,2.98,himidan,-45.882406145134226,-45.45358597604852,3.693103325265182,12.384974911171824
8628,0.0,1.85,himidan,-44.14181798986486,-46.059614281905326,3.6684285590369887,4.659739703517307
19514,0.0,8.606,himidan,-41.487668771777,-42.803092372660736,3.542832071128665,5.184295012211788
19433,0.0,3.966,himidan,-42.80184390743073,-43.123410811791054,3.471717827276409,5.303206297611883
1690,0.0,2.098,himidan,-54.186007254464286,-54.263741387261284,3.4635956445725005,4.933774642993953
6160,0.0,4.854,himidan,-42.895336662371136,-47.44135334180749,3.440983346922773,9.094407464634257
11239,0.0,3.256,himidan,-48.236651648773005,-50.95055709838867,3.433406289378638,11.965116054078358
876,0.0,2.947,himidan,-47.042134533898306,-50.180931091308594,3.4255169807265755,10.395376172615295
11165,0.0,5.2,himidan,-45.43472055288461,-48.65359165357507,3.4255169807265755,10.627523051085083
1116,0.0,4.965,himidan,-41.78651597082495,-44.05600935618083,3.3784411431603165,6.85047048795486
19434,0.0,3.68,himidan,-45.81331203294837,-44.948827826458476,3.3020221996226686,6.076025257831095
11560,0.0,3.03,himidan,-48.01039088283829,-57.055672038685195,3.2550217203004723,5.8433091787729765
12245,0.0,1.824,himidan,-59.46564324347528,-60.769737019258386,3.255020067413343,22.64318890060029
2477,0.0,1.89,himidan,-54.45825066137566,-57.21584815979004,3.242893810441002,7.242520211117807
15540,0.0,2.47,himidan,-50.862976815536435,-53.739602406819664,3.24289327507812,2.9690198281296496
2472,0.0,1.66,himidan,-52.61012801204819,-57.568902587890626,3.24289327507812,4.932637969879771
12830,0.0,5.85,himidan,-53.41069043803419,-52.9167605638504,3.2219967645546306,10.486724012331578
2269,0.0,3.083,himidan,-54.541985846185064,-59.30318742639878,3.221099573115047,10.99477743796822
17559,0.0,6.89,himidan,-45.70485134706096,-49.1708227655162,3.2210980004504735,5.384285470638979
6146,0.0,3.67,himidan,-45.533144584468666,-47.753475189208984,3.2154820161202586,5.191201106269851
11975,0.0,4.382,himidan,-59.36497574200913,-59.21278311989524,3.188737203770175,13.080575149768709
6159,0.0,3.698,himidan,-46.26647487331081,-48.94373973210653,3.188737203770175,7.395596914888673
8622,0.0,1.77,himidan,-43.13508562853107,-42.981488478811166,3.188737203770175,2.2426491706268585
16887,0.0,4.28,himidan,-58.55530355578271,-61.5605291219858,3.172077931978166,4.013070425000443
16421,0.0,5.175,himidan,-41.95895044039575,-45.951955968683414,3.1720771860334636,10.813366034719692
4430,0.0,3.0,himidan,-40.82508138020833,-40.26616247076737,3.1530328551435867,7.396776423081617
4395,0.0,4.253,himidan,-42.706148897058824,-44.48652625083923,3.1169355839181248,9.124402296774965
5408,0.0,3.004,himidan,-46.712275390625,-48.85306377410889,3.115223186077725,8.11021176824262
10024,0.0,1.51,himidan,-48.7442861392798,-51.24127303229438,3.1047609679867145,6.06345142120251
12318,0.0,3.0,himidan,-58.6572265625,-60.54984138751852,3.1012269942355046,16.13473161667529
19430,0.0,4.44,himidan,-42.94396642736486,-43.529545270479645,3.0632565428414837,5.804561514109073
1076,0.0,2.62,himidan,-47.523918326574424,-47.133530934651695,3.046930043350861,6.009104791259281
1385,0.0,1.799,himidan,-54.88342556423611,-55.80145311355591,3.0469296703785096,8.350364795908671
15352,0.0,1.87,himidan,-46.096872911096256,-46.338128089904785,3.022548183887779,8.44494592306286
16995,0.0,2.537,himidan,-43.71881536048228,-44.04192042350769,3.009139019559613,6.914111642879195
437,0.0,3.834,himidan,-44.47748041775457,-43.70713987804594,3.00138159901069,11.664462736521099
17925,0.0,5.58,himidan,-51.63794732862903,-55.49243326187134,2.9777201524098307,5.343473231466916
17794,0.0,4.18,himidan,-53.52986225328947,-56.70272580315085,2.973672425536545,3.266661123448788
7975,0.0,2.313,himidan,-47.39651396780303,-48.597216796875,2.9736709842376956,6.259307427229189
8315,0.0,2.74,himidan,-42.47954921304745,-43.16934986114502,2.957250492258683,12.353915097332889
11423,0.0,5.0,himidan,-51.7981640625,-54.33884082121008,2.9486972507835314,8.77158668266182
19394,0.0,2.68,himidan,-57.53897504664179,-56.36482057117281,2.9284241725327815,0.3609350727840095
8562,0.0,2.54,himidan,-45.484682578740156,-46.51417428475839,2.921781408778853,8.15118468548177
2199,0.0,1.93,himidan,-57.160414305375646,-58.58527772322945,2.8858289916072026,13.857138723445654
696,0.0,2.827,himidan,-41.325564542844525,-42.79685974121094,2.8836182045162015,8.23059608533688
2512,0.0,2.835,himidan,-56.113411916813384,-56.434866189956665,2.838708218412719,3.639705483479119
8558,0.0,2.68,himidan,-40.104495831389926,-41.97487907409668,2.824977850858378,6.388579985976648
1413,0.0,2.032,himidan,-56.385982720135466,-57.23822457449777,2.796632774206846,7.671555095477405
2229,0.0,3.543,himidan,-59.40193546963277,-62.28859731886122,2.7966320282621435,5.958885772239933
812,0.0,3.996,himidan,-42.584755859375,-42.868063888549806,2.770274317947794,13.79765534807206
10938,0.0,2.16,himidan,-43.033854166666664,-44.83918300427889,2.769046709117032,8.638416193577315
9980,0.0,2.56,himidan,-46.65114974975586,-48.39365402221679,2.769045719141693,9.464438607652077
5309,0.0,2.681,himidan,-45.097244490438435,-46.109063415527345,2.7690437391910154,5.963537291566878
13740,0.0,2.01,himidan,-43.834645133706466,-44.9004891437033,2.7304312954305847,12.040004993323393
11333,0.0,3.81,himidan,-53.52979925360892,-54.7448159626552,2.7274045855523257,6.070176441373437
17562,0.0,5.0,himidan,-45.007125,-46.9723623121107,2.7029466419922388,5.661325466332604
8651,0.0,2.84,himidan,-42.306338028169016,-45.60710183505354,2.7004024688696795,8.37104556038016
12276,0.0,2.243,himidan,-62.86722673688616,-65.58740286393599,2.7004024688696795,11.868209902124583
12869,0.0,1.48,himidan,-63.338411898226354,-59.28604275247325,2.7004020556478974,7.515478655101898
2309,0.0,2.722,himidan,-53.820915670955884,-56.68810272216797,2.693401411402319,8.926888048143969
17741,0.0,5.02,himidan,-51.99703529631474,-56.037362289428714,2.6933998387377454,9.831231806410559
674,0.0,1.765,himidan,-44.67243500617938,-44.58250745137533,2.676545206216335,9.890088901317174
12557,0.0,2.24,himidan,-62.412205287388396,-63.84983654022217,2.6714833936901363,6.841660233691609
10214,0.0,2.104,himidan,-47.58262648809524,-48.84406678572945,2.6500891677376575,12.960013627161276
15117,0.0,2.65,himidan,-45.00430056014151,-44.92284474228368,2.6462772817489992,8.001066524848998
8624,0.0,2.59,himidan,-44.969696398407336,-46.09076817830404,2.6346994824034105,7.215882374189638
5316,0.0,2.287,himidan,-44.304956161299124,-45.21025158110119,2.6346994824034105,6.178440771853426
3281,0.0,2.63,himidan,-42.18137699025665,-44.7005136013031,2.61416123239116,8.54137171194285
4407,0.0,4.459,himidan,-44.71844345571749,-44.170808944702145,2.606712074722027,4.9634014184635245
12962,0.0,2.073,himidan,-59.56921799516908,-55.261602613661026,2.6029560715701265,11.216334234487274
13746,0.0,2.254,himidan,-44.000629340277776,-45.971221466064456,2.602955576582457,8.53576485482224
15370,0.0,3.09,himidan,-41.69747421116505,-40.5714567565918,2.5905326649847336,6.92015518554674
17801,0.0,5.92,himidan,-52.015997809332774,-57.59106434092802,2.561476870974137,9.482868523849305
4035,0.0,4.004,himidan,-43.9290869140625,-45.966021024263824,2.5614752983095634,10.233187154714761
13947,0.0,2.76,himidan,-38.39967943274456,-40.778836470383865,2.5614752983095634,7.701395184733219
5365,0.0,1.72,himidan,-49.807197038517444,-50.96658363342285,2.5548250320329475,9.061126541148415
14311,0.0,1.69,himidan,-41.25763336723373,-44.06789034888858,2.5463349456043045,6.650555956526359
1387,0.0,1.926,himidan,-56.70666187661917,-57.06013717651367,2.546334386145778,11.586932757868404
14505,0.0,2.04,himidan,-43.233451095281865,-43.89339907964071,2.489764901774615,7.049445330134821
1086,0.0,2.621,himidan,-44.435155504532446,-45.07768086024693,2.4801107070460278,3.6855699930383334
16182,0.0,2.073,himidan,-50.259402362620776,-49.58197275797526,2.4768160522335503,8.442059111797855
11929,0.0,2.45,himidan,-52.05172193877551,-52.46865142019171,2.4368654340232205,8.739709920300218
8579,0.0,2.78,himidan,-43.23975663219424,-43.13256145658947,2.436864939035551,7.991900803073218
15094,0.0,2.19,himidan,-48.32119096033105,-49.75495483398438,2.436864939035551,7.286969513388511
4053,0.0,4.225,himidan,-45.004543439716315,-46.868171833179616,2.429550757881381,11.392590561657888
8289,0.0,3.02,himidan,-40.37596362789735,-39.88771991729736,2.429550757881381,12.013931962780555
17549,0.0,3.76,himidan,-45.2169786818484,-46.83904680524554,2.423617184489307,2.4165969536572103
2163,0.0,2.98,himidan,-53.74218422294463,-57.475960159301756,2.4211861245461215,4.651530223225734
12378,0.0,3.048,himidan,-63.87313012295082,-62.25884353637695,2.4211853786014195,9.608001760288529
18305,0.0,2.44,himidan,-47.53223856941598,-48.89520263671875,2.3904047065601,7.620022096463099
4034,0.0,2.187,himidan,-47.87199004708904,-48.58257956253855,2.311771118808642,8.563321624887303
5946,0.0,2.02,himidan,-55.593527614480195,-53.6310422261556,2.3080611333259506,11.77882743158764
