index,recording_id,start,duration,channel,text,language,speaker,text_normalized,gloss,lemmata,fst_normalized,num_raw_variants
2515,HH09022020,2574.166,0.9590000000000001,0,ìjǒ,tic,Himidan,ijo,"beat[VENT,IPFV]",ij,ìjɔ́,6
2514,HH20211019-1,2188.075,0.46,0,íjɔ̀,tic,Himidan,ijo,"letter[NOM,PL,left_h]",ðìjɔ̀,íjɔ̀,6
2513,HH20230612,671.015,0.47000000000000003,0,ìjɔ̀,tic,Himidan,ijo,"letter[NOM,PL]",ðìjɔ̀,ìjɔ̀,6
2512,HH09022020,2556.536,0.853,0,ìjò,tic,Himidan,ijo,"letter[NOM,PL]",ðìjɔ̀,ìjɔ̀,6
2511,HH20211005,2848.57,0.77,0,íjɔ́,tic,Himidan,ijo,"beat[VENT,IPFV,left_h]",ij,íjɔ́,6
2510,HH09022020,2648.378,0.659,0,íjô,tic,Himidan,ijo,"beat[VENT,IPFV,left_h]",ij,íjɔ́,6
5731,HH10012020,1147.786,2.484,0,lálóvə́lɛ̂ðà nd̪ɔ̀bàgɛ̀,tic,Himidan,lalov@leda ndobage,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,láló_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,6
5727,HH20210305,2741.787,1.42,0,lálóvə́lɛ̂ðà ndɔ̀bàgɛ̀,tic,Himidan,lalov@leda ndobage,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,láló_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,6
5808,HH20211207-Zoom,935.352,1.374,0,làmìɲí lɔ́mɛ́ ùnɛ́ɾɛ́,tic,Himidan,lamini lome unere,"love[CLL,VENT,PFV] rain[NOM,SG] yesterday[]",amiɲ lɔ́mɛ́ ùnɛ́ɾɛ́,làmìɲí lɔ́mɛ́ ùnɛ́ɾɛ́,6
5809,HH20211207-Zoom,940.805,2.035,0,lǎmìɲǐ lɔ́mɛ́ ùnɛ́ɾɛ́,tic,Himidan,lamini lome unere,"love[CLL,VENT,PFV] rain[NOM,SG] yesterday[]",amiɲ lɔ́mɛ́ ùnɛ́ɾɛ́,làmìɲí lɔ́mɛ́ ùnɛ́ɾɛ́,6
5726,HH10012020,2387.371,1.795,0,lâlóvə́lɛ̂ðà nd̪ɔ̀bàgɛ̀,tic,Himidan,lalov@leda ndobage,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,láló_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,6
5807,HH20211207-Zoom,879.454,1.55,0,lǎmìɲì lɔ́mɛ́ ùnɛ́ɾɛ́,tic,Himidan,lamini lome unere,"love[CLL,IT,DEP,left_h] rain[NOM,SG] yesterday[]",amiɲ lɔ́mɛ́ ùnɛ́ɾɛ́,lámìɲì lɔ́mɛ́ ùnɛ́ɾɛ́,6
