,sentence,record_type,keyword,loss,wctc_loss,pred_strings
0,kúkù ŋgá kɛ̀cí ɛ́ɾáðɛ́ nɛ̀ rî,negative,àpɾí,703.1588134765625,36.04717254638672,˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞ɱʷɱ˞˞˞ɗ ˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞ʷ˞˞˞˞˞˞˞˞ɨ˞˞˞˞˞˞˞˞ɱ˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞ˠ˞˞˞˞˞˞˞˞˞˞˞˞˞˞ɸ˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞˞
1,láɾl̀à ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà,negative,àpɾí,488.8197326660156,33.33977127075195,ǃɸǃǀ˞ ǃ˞ǃ ˞ǃ˞˞˞ǃ˞˞˞˞˞˞˞˞ǃǃ ǃəǃǃǃ    ˞ɮ ˞  ˞      ˞˞˞   ˞                          ˞ ˞˞  ˞ ˞˞˞ ɞ ˞ ǁɸǃɸɸǁɸ    ɮ        ˞ ǃɸɸ ǃǃǃǃ        ˞   ˞˞˞          ˞ ˞ɮ        ɮ  ˞  ˞˞ ˞ɸ˞˞˞˞ɸ˞˞˞ǃɸ˞ǃǃɸɸ
2,ðɔ̀mɔ̀cɔ̀ ðápàt̪ɛ̀ àpɾíɲá ɛ̀ðɛ̀,close_negative,àpɾí,651.4746704101562,37.15056228637695,ɸʰʔəəəʰəʔ˞ᶑ ˞˞ ˞˞˞˞  ˞ᶑ˞ ˞  ˠ˞˞ ˞ʔʔʔ˞ ʔ˞˞˞˞˞ ˞˞˞˞˞˞ʔ˞˞˞ ˞˞˞ ˞˞ᶑ˞˞˞ʔ  ˞˞˞ ˞˞ʔ˞ʔʔ˞˞˞ʔ˞˞˞ʔ ˞˞ʔ˞ʔ˞˞ʔˠ˞əˠɸəəʔəəɸəəəəəᶑəəəəɸʰəəəəəəəɸəəəəəəə˞ʔ˞ʔ˞ʔʔəʰ˞ʔʔ˞ ˞˞ ʔ˞ʰ˞˞˞ʑ  ˞˞˞˞˞˞˞ʔ˞ʔᶑʔ ʔʔʔ˞ ʔʔʔʔ ʔəəəəəəə
3,t̪átɛ́ ùnɛ́ɾɛ́ újɛ̀l,negative,àpɾí,531.4332275390625,37.00121307373047,əəɸɸəəəəəɸəɸ˞˞ᶑᶑ     ˞ ˞˞ ˞ ʔ˞  ˞˞ʔʔəʔʔəɸəəəəʔəɸɸəəəəəəᶑ ʔʔ ˞˞ ᶑ˞ʔ ʔʔ ˞ʔʔ ʔʔ  ʔʔ ʕ   ˞ʔ ˞ᶑ˞ʔʔˠə˞˞ ˞˞˞˞˞˞˞˞    ʔ ˞˞ ˞   ˞ ˞˞˞˞˞˞˞ᶑᶑʔə˞ɮ˞˞ ˞ʔ˞ʔ   ˞ ˞˞ʔ˞ ˞ᶑʔʔʔʔ˞ʔʔəəə˞ɸəəəəəəəəəəøəəɸøəəəəəɸəəəəə
4,kńnà àpɾí jɛ́ àɾɔ́ ðówɛ́ íðɔ̀,positive,àpɾí,522.4584350585938,36.75790786743164,˞˞ʔəəəʔəəʔəəʔə˞ʔʔʔʔʔəʔʔə˞˞˞˞ ˞˞  ˞ ˞˞˞˞˞˞˞˞ᶑ˞˞ ˞˞˞˞ᶑᶑʔʔ˞˞˞ ˞˞ ʔ ˞ ˞ʔʑ˞ ʔʔ˞˞ʔ˞ʔʔ˞ʔ˞˞ʔ ˞˞ʔ˞˞˞˞˞˞˞˞˞˞˞˞ɮ˞ ˞ ˞ ˞˞˞ ˞    ˞ʔ ˞ ʔ  ˞ʔ ʔ ʔ˞˞  ʔ˞˞˞˞˞ʔʔʔʔʔəəəʔɸəəᶑəʔ˞əʔʔp˞əəɸəəəəəəəəəøəøəəəəəəɸəəɸəəəəə
5,àn ɔ́ɟɔ́ kə́ŋàcí kúkù ðɔ̀ndà,negative,àpɾí,559.1607666015625,37.428810119628906,əəəəəəə˞˞ˤ˞˞ ˞˞˞˞˞˞ʔ˞˞ ˤ   ˞ˤ˞ˤ˞˞ˤ˞ ˞˞ˤ˞˞˞˞˞˞˞˞˞pᶑəə˞ˠəˠʔəəəəɸəəə˞˞ə˞˞˞˞ˠ˞˞  ˞˞˞˞ʔʔ˞ʔʔgʔʔʔʔ əəəəᶑ˞əʂʔ˞˞əəᶑəə˞ᶑaᶑgᶑ˞˞ʔʔʔə˞ᶑ ˠ˞˞˞˞ə˞˞˞˞ˠəˤ˞˞əˠə˞əɞəəəəəəəəøəøɸɸəəøəəəəəɸəəəəəəøəɸəəəəəəəəəəəəøɸɸə
6,àpɾí jáŋcìnɛ̀ kúkùŋú,positive,àpɾí,594.6818237304688,36.55311584472656,əə˞əəə˞˞˞˞˞˞ˤ˞˞ᶑ˞ˤ˞ˠɗˤʰ˞˞˞˞˞˞˞˞˞˞ˠ˞˞ əə˞əəəəə˞əəəəǀəəəəəəəəəəəɸəəəøəəəəə ˞˞ˤ˞˞˞˞˞˞˞˞˞ˠʔˠɗəʔ˞əəʔəʔʔʔʔʔʔʔʔəəəəʔˠ˞˞ᶑ˞˞˞ə˞p˞ʰ˞ʔəᶑ əəʔ˞ʔəəʔʔʔʔəəʔəəəʔəəəəəəəəəəəəəəəəəəɸəəəˠəøəəəəəəəəəøəəəəəəəəəəəə
7,ðàŋàl ðá və́lɛ̀ðà àpɾíɲá nd̪ɔ̀bà,close_negative,àpɾí,449.2339782714844,37.0670166015625,ʔʔəʔəəˠʔ˞ʔᶑə˞˞˞˞˞˞˞˞ʰ˞  ˞˞˞ʔ  ʔ ˞ʔʰ˞˞˞ʔʔ˞˞  ˞˞ ˞˞    ˞  ʔ˞˞ʰ ˤ ʔ˞ ˞˞˞˞˞˞˞˞˞˞˞˞˞ᶑ˞˞˞˞˞˞˞ ˞˞˞ʔ˞ ˞ ˞˞˞˞˞˞ʔˤ˞˞˞ˠˠ ˞˞ʔ ʔ˞ʔʔ  ˞˞˞˞ ˞˞˞˞˞˞˞˞˞˞˞˞ʔ˞ᶑə˞ᶑʔəəəəəəəəøəəəəəəəøəəəɸəəəəəøəøəəəøøəəəəəəəəəøøɸø
0,íŋgá t̪ə̀vɔ́ ðár,negative,àpɾí,251.47909545898438,36.97418212890625,˞˞˞˞˞˞˞ʔ    ɗ<sos/eos>˞  ˞ʔ  ʔʔᶑ        ˞ ˞˞ ˞˞˞˞ʔʰ˞˞ə˞ʔ˞˞˞˞ʰᶑʔ˞ ˞ʔ˞˞ ᶑʔ ʔ˞˞˞ ˞ ʔ˞ɸ˞˞ 
1,là lácì ʊ̀mɔ́ ùnɛ́ɾɛ́,negative,àpɾí,230.7432403564453,33.99343490600586,ʔ ʔ       ʔʔʔʔˠʔʔʔʔʔʔʔ ʔʔʔ ˞˞˞ ᶑʔ ʔʔ ˞˞˞ʔ˞ᶑᶑᶑ˞˞  ᶑ˞ʔʔʔ ʔʔʔ˞˞˞ʔʔ ʔ˞ʔʔ ʔ˞ʔ
