index,recording_id,start,duration,channel,text,language,speaker,text_normalized,gloss,lemmata,num_raw_variants
2175,HH07242020-Zoom2,987.586,2.114,0,híŋgɔ́rɔ́ðà,tic,Himidan,íŋgá_ɾɔ́ðà,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",ŋgá ɾɔð,7
2176,HH07242020-Zoom2,978.512,1.986,0,íŋgɔ́rɔ́ðà,tic,Himidan,íŋgá_ɾɔ́ðà,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",ŋgá ɾɔð,7
2177,HH07242020-Zoom2,965.552,1.437,0,íŋgɔ́ɾɔ́ðà,tic,Himidan,íŋgá_ɾɔ́ðà,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",ŋgá ɾɔð,7
2178,HH07242020-Zoom2,1276.73,1.418,0,íŋgárɔ́ðà,tic,Himidan,íŋgá_ɾɔ́ðà,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",ŋgá ɾɔð,7
2179,HH07242020-Zoom2,1120.447,1.317,0,íŋgáðə́rɔ̀ðà,tic,Himidan,íŋgá_ɾɔ́ðà,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",ŋgá ɾɔð,7
2173,HH07242020-Zoom2,992.573,1.346,0,híŋgárɔ́ðà,tic,Himidan,íŋgá_ɾɔ́ðà,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",ŋgá ɾɔð,7
5773,HH20201021,319.08,1.849,0,lə̀və̀lɛ̀ðálírló únɛ́ɾɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,7
5774,HH20210305,3046.137,1.16,0,lə̀və̀lɛ̀ðálérló únɛ̀ɾɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,7
5775,HH20201021,335.468,1.682,0,lə̀və̀lɛ̀ðálló únɛ́ɾɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,7
5776,HH20210305,3031.257,1.44,0,lə̀və̀lɛ̀ðálěrló únɛ̀ɾɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,7
5777,HH20210312,1502.82,1.77,0,lə̀və̀lɛ̀ðɜ̂llú únɛ̀ɾɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,7
5778,HH20201021,445.264,2.331,0,lə̀və̀lɛ̀ðâlló únɛ́ɾɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,7
2174,HH07242020-Zoom2,1022.795,1.15,0,hɛ́ŋgɔ́rɔ́ðà,tic,Himidan,íŋgá_ɾɔ́ðà,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",ŋgá ɾɔð,7
5779,HH09242020,2055.57,1.354,0,lə̀və̀lɛ̀ðɜ̂lló únɛ́rɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,7
5760,HH09242020,2253.257,2.069,0,lə̀və̀lɛ̀ðɛ́ló únɛ́rɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,6
5759,HH20210305,2338.517,1.52,0,lə̀və̀lɛ̀ðɛ́lú únɛ̀ɾɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,6
5758,HH09242020,2046.775,1.145,0,lə̀və̀lɛ̀ðɜ̂ló únɛ́rɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,6
5755,HH09242020,2256.472,1.893,0,lə̀və̀lɛ̀ðɛ́ló ûnɛ̀rɛ̀,tic,Himidan,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",vəlɛð ùnɛ́ɾɛ́,6
4769,HH02192021,1287.667,1.745,0,lǎlóvə́lɛ̂ðà nd̪ɔ̀bàgɛ̀,tic,Himidan,láló_və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,6
