index,eaf_text,fst_text,lemmata,gloss,num_eaf_variants
8394,íŋgɔ́rɔ́ðà,íŋgá ɾɔ́ðà,ŋgá ɾɔð,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",7
1308,lə̀və̀lɛ̀ðálírló únɛ́ɾɛ̀,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",7
1309,lə̀və̀lɛ̀ðálló únɛ́ɾɛ̀,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",7
1310,lə̀və̀lɛ̀ðâlló únɛ́ɾɛ̀,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",7
1486,lə̀və̀lɛ̀ðɜ̂llú únɛ̀ɾɛ̀,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",7
8396,íŋgárɔ́ðà,íŋgá ɾɔ́ðà,ŋgá ɾɔð,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",7
1424,lə̀və̀lɛ̀ðálěrló únɛ̀ɾɛ̀,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",7
539,hɛ́ŋgɔ́rɔ́ðà,íŋgá ɾɔ́ðà,ŋgá ɾɔð,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",7
536,híŋgɔ́rɔ́ðà,íŋgá ɾɔ́ðà,ŋgá ɾɔð,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",7
537,híŋgárɔ́ðà,íŋgá ɾɔ́ðà,ŋgá ɾɔð,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",7
541,íŋgáðə́rɔ̀ðà,íŋgá ɾɔ́ðà,ŋgá ɾɔð,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",7
1425,lə̀və̀lɛ̀ðálérló únɛ̀ɾɛ̀,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",7
930,lə̀və̀lɛ̀ðɜ̂lló únɛ́rɛ̀,lə̀və̀lɛ̀ðɜ́lló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,3PL.SBJ] yesterday[left_h]",7
8393,íŋgɔ́ɾɔ́ðà,íŋgá ɾɔ́ðà,ŋgá ɾɔð,"aux cook[CLG,IT,IPFV,1SG.SBJ,aux]",7
1418,lálóvə́lɛ̂ðà ndɔ̀bàgɛ̀,láló və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",6
994,lálóvə́lɛ̂ðà nd̪ɔ̀bàgɛ̀,láló və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",6
1036,lálóvə́lɛ̂ðá nd̪ɔ̀bàgɛ̀,láló və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",6
1031,lâlóvə́lɛ̂ðà nd̪ɔ̀bàgɛ̀,láló və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",6
1379,lə̀və̀lɛ̀ðɛ́ló únɛ̀rɛ̀,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",6
265,lǎlóvə́lɛ̂ðà nd̪ɔ̀bàgɛ̀,láló və́lɛ̀ðà nd̪ɔ̀bàgɛ̀,ŋgá vəlɛð nd̪ɔ̀bàgɛ̀,"aux pull[CLL,IT,IPFV,3PL.OBJ,aux] tomorrow[]",6
929,lə̀və̀lɛ̀ðɜ̂ló únɛ́rɛ̀,lə̀və̀lɛ̀ðɛ́ló únɛ́ɾɛ́,vəlɛð ùnɛ́ɾɛ́,"pull[CLL,VENT,PFV,3PL.OBJ,1SG.SBJ] yesterday[left_h]",6
