,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
955,2,láɾl̀à ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà,negative,kə̀və̀lɛ̀ðɔ́,600.4716186523438,68.77629852294922,b<blk>bbbbbbbb<blk>bbbbbbbbbbbbbbbbbb<blk>bbbbbbbbbǂɒɒɒɒɒɒɒɒɒɒɒɒɒɒɒɑɒɒɒʎbɒbɒbbʎbbbbbbɒǂʎʷɒbbɒɒɒʎɒʷbɒɹbɹɒbbbbbbbbbbb<blk>bbbbbbbbbbɒbbbɒb<blk><blk>bbbb<blk><blk>bɒbbbɒʎʎoʎɒʷ<blk>ʎʎʎbbʎbbbbbbʎɒʎɒb<blk>bʷɒɒbʎbb<blk>bɒbbbʷbʎbbbb<blk>bʕ<blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk>b<blk><blk><blk>b<blk><blk><blk><blk>b<blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>
957,4,kàgɛ́ kə̀və̀lɛ̀ðɔ́ édɔ̀ɽɔ̀ nɛ́ t̪ìbíŋì,positive,kə̀və̀lɛ̀ðɔ́,609.6204833984375,68.9793930053711,ʎɒǂʷʷɒɒɒɒɒɒɒɒbɒɒɒɒɒʎɒɒɒʷɒbbʷɒbbʷɒɒɒɒɒɒɒɒɒɒʷɒɒʷʷʷʷɒɒɒɒɒʷbɒɒɒʷʷɒɒɒɒʷʷɒbʷbɒɒbɒʜɒʜɒʷɒʷʎɒbʎʷɒʷⱱɒʷɒɒɒɒbbbbʷbbʎbbbbbʎɹbʎbʎʎbbʷʷɒɑʷɒʷɒɒɒbɒʎɒɒɒʷɒɒɒɒɒɒɒɒɒɒʷɒɒɒbʷɒɒbbɒbʎɒʎ<blk><blk>bbbb<blk><blk>b<blk><blk><blk>bbbb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>bb<blk><blk><blk><blk>bb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk>b<blk>b<blk><blk><blk><blk>b<blk>b<blk>
959,6,àn dún kə́və̀lɛ̀ðɔ́gɛ́ ápɾí,close_negative,kə̀və̀lɛ̀ðɔ́,527.06201171875,69.38568115234375,bbbbɑʷɑbʷʎbɒɒʷʷʷbʷʷɒɒbɒɒɒʷɒʷɒʷʷiʷɒʷɒʷʷʷɒɒbʎbʎʎʟʷbbbʷbbbbbbbbb<blk><blk>bbbbbbbbbʷʛbbbbbʷʷʷɒɒɒʷʎɒɒɒɒɒʷʷɒɒʷʷʷʷɒʷɒɒɒʷɒɒɒɒʷɑʷʷʷɒɒʷǂʷʷⱱɒʷbbbbbʷʷɒɒʷʷbǂǂʷɒɒɒɒbbbbbbbbb<blk><blk><blk><blk><blk>b<blk>ɹ<blk><blk>b<blk><blk><blk><blk><blk>bbb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk>b<blk><blk><blk>bbb<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk>b<blk>b<blk><blk>bb<blk>b<blk><blk>
886,20,jájít̪ɔ́ ɛ̀ðɛ̀,negative,kə̀və̀lɛ̀ðɔ́,116.92948150634766,69.48641967773438,bbbbɒɒbɒb<blk>bbbbbbɒbbɒbʷɒɒbɒbɒbbbbbb<blk><blk><blk><blk><blk><blk><blk>b<blk>bb<blk><blk><blk><blk><blk><blk>bb<blk><blk>b<blk><blk><blk><blk><blk><blk>
847,7,ɛ́là ðúɽìðìðɔ̀ èdɔ̀ɽɔ̀ ánó nd̪ɔ̀bà,negative,kə̀və̀lɛ̀ðɔ́,459.3561401367188,69.67648315429688,bbbbʷʷbbʷbbɒbʷɒɒɒbɒɒɒɒɒɒɑɒʷǂʷɒɒɒɒɒǂɒɒʷɒɒbʎbbɒ<blk>ʎʎʷʎʎʎɒʷɒɒbɒbbbɒbbbɒɒɒʷɒɒʷbɒɒ<blk>ɒɒʷɒʎʎʎɒɒʷʷɒʷɒɒɒɒʷbɒbbbʎbbbbɒʎʎ<blk>ʎ<blk>bɒbʎʟʎʟʟɹʎ<blk><blk>bbbb<blk>b<blk><blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk>bb<blk><blk>bbb<blk><blk>
890,24,ḿɔ́,negative,kə̀və̀lɛ̀ðɔ́,86.17469787597656,69.8544921875,bʎbbbbbbbb<blk>ʷbʷbb<blk>bbɹʎbbb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>ɹɪb<blk><blk>bb<blk>bbbbb<blk><blk><blk><blk>b<blk><blk><blk>bb<blk><blk><blk>
956,3,t̪átɛ́ ùnɛ́ɾɛ́ újɛ̀l,negative,kə̀və̀lɛ̀ðɔ́,535.3240966796875,69.89881134033203,b<blk>bbbbbbbbbbb<blk>bbʷɒǂɑǂɒʷɒɒɒʷɒɒʷʎʷbɹbʷbbbbbbbbbbbbbb<blk>bbbbbɒɒʟɒɒɒɒɒɒbʎɹɹbbbʷɒɒɒʷɒbbʷɒbɒbɒɒɒʷ<blk>bbbbɹʎbɒʷbbɒʷbbɒbbʷbɒbʷbɒɒɒbɒʷbbɒbbɒʷbʎb<blk>bbbbbɒɒɒbbʷɒɑʷʷbʷɒʷɒbb<blk>ʷbbb<blk>b<blk>bb<blk><blk>ɹbɹ<blk><blk><blk><blk>b<blk><blk><blk><blk>b<blk><blk>b<blk>b<blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk>bb<blk>b<blk><blk><blk><blk><blk><blk><blk><blk>b<blk>b<blk>bb<blk><blk>b<blk>
889,23,kɛ́ɾá nɔ́ðɛ̀,negative,kə̀və̀lɛ̀ðɔ́,101.52871704101562,69.95856475830078,ʷʷʷɒɒʷɒɒɒʷɒʷbɒɒɒbɒʎʷɒɒɒʷ<blk><blk><blk><blk><blk><blk><blk><blk>bb<blk><blk>bb<blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk>b<blk><blk><blk><blk>b
912,5,ɛ́là ðáɽà lə̀bú nàré nd̪ɔ̀bà,negative,kə̀və̀lɛ̀ðɔ́,304.975830078125,70.08490753173828,ɒɒbbɒʷɒbɒɒʷɒɒɒɒɒʷɒʷʎɒbɒbʷɒɒǂɒɒbɒʷʷɒʎ<blk><blk>bb<blk>ʎbbbʎbʎbbbʎbʎbʷʎɒʎʷɒbʎbbbbʷbb<blk>bɒbʷ<blk><blk><blk>bbbbbʷbbʎ<blk>bɹb<blk><blk>ʕɹɹ
954,1,kúkù ŋgá kɛ̀cí ɛ́ɾáðɛ́ nɛ̀ rî,negative,kə̀və̀lɛ̀ðɔ́,632.9422607421875,70.11711120605469,bbʷʷbʎ<blk>ɒbʷ<blk>bbbbbɒɒɒɒʷɒbɒbbʷbbbʟʎbbbbʟbʷbɒɒbɒɒɒɒʷɒʷʎʷʷɒbʷʎbʷʷɒʷbɒbbʷʟbbɒʷbɒɒɒǂʷɒɒbɒɒʷʷbbɒbbbbbbbʎbʎbbbbbbb<blk>bbbbbbbbb<blk>b<blk>bbbbbbbbʷbʎbbbbbbbbbʷʷʷbɒɑbʷɒɒʷbʷɒʷbʷbbɒbbʷbbʷʷʷʎʷʎɒbʷɒbbbbbbbbbbɒbbbbbbʎb<blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk>bbbbb<blk>bb<blk><blk>b<blk><blk><blk><blk><blk><blk>
