,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
409,23,kɛ́ɾá nɔ́ðɛ̀,negative,ŋɔ̀ɽíŋgɔ́,101.96671295166016,57.82083511352539,ɒɒʷɒɒɒɒɒɑʷʷɒɒʷʷɒʷʷbʎʷʷɒb<blk><blk><blk><blk>bɹ<blk><blk>ɹb<blk><blk><blk><blk><blk><blk><blk>bbb<blk><blk><blk><blk><blk>b<blk>b<blk><blk>bb<blk><blk><blk><blk><blk>
477,4,láɾl̀à ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà,negative,ŋɔ̀ɽíŋgɔ́,590.32275390625,58.40058898925781,<blk>bbbbbbbbbbbɦbbbbbɸbbbbb<blk>ɹbbb<blk><blk><blk>bbbbʷʷɒɒɒɒɒɒɒɒɒɒɒʷʷʎɒɒɒɒʷɒɒɒʎɒɒɒʷʷɒɒɒʛbʎbɒbbǂɒɒʷɒbɒɒɒʎɒʎʷbʷʷʎɹ<blk>ɹbbbbb<blk>bbb<blk><blk><blk>bbbbbbbbbbbbb<blk><blk>bbbb<blk>ɒbbɒɒɒbɒɒʎbʎɑʎ<blk>ʎbbʎbbʎbbbʎ<blk>b<blk>bbbbɒʎʎʎʎʎʷ<blk>bʎbɹbbbpbbbb<blk>bb<blk>b<blk><blk><blk>bbb<blk><blk><blk><blk><blk>b<blk>b<blk>bb<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>bbb<blk><blk>b<blk><blk><blk><blk><blk><blk>b<blk>b<blk><blk><blk>bbb<blk>bb<blk>b<blk><blk>bb<blk><blk><blk>bb<blk><blk><blk>bbbb<blk><blk><blk><blk><blk>b<blk>b<blk><blk><blk><blk><blk><blk>b<blk>b
410,24,ḿɔ́,negative,ŋɔ̀ɽíŋgɔ́,83.60501098632812,59.37346649169922,bb<blk>bbbbʎʷɒʷʷbɒɒbbbbbbbbb<blk>ɹ<blk>ʕb<blk>b<blk><blk><blk>b<blk><blk><blk>b<blk>b<blk><blk><blk><blk>b<blk>bb<blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk>
399,13,ðólá t̪à,negative,ŋɔ̀ɽíŋgɔ́,141.28057861328125,59.47740936279297,b<blk><blk>bbb<blk>bɒbʷbbʷʎbbbʷbbʷʷbbbbbbɒbb<blk>bbb<blk>bbb<blk>bb<blk>bbbb<blk><blk><blk><blk><blk>b<blk><blk>bb<blk>bb
479,6,t̪átɛ́ ùnɛ́ɾɛ́ újɛ̀l,negative,ŋɔ̀ɽíŋgɔ́,539.3644409179688,59.62109375,b<blk>bb<blk>bbbbbbbbbbbʷɑɒɒɒǂʷʷʷʷɒʷɒʷɒɒbbbʎbbɹb<blk>bbbbbbbbb<blk>bbb<blk>bɒɒɒɒɒɒɒɒbbbbbbbʎɒɒʷɒʷɒɒɒɒʷɒɒɒwɒɒb<blk>ɹ<blk>bbbbɒbbbʷbbbbbbbbɒɒɒʷbɒʷbɒʷʷʷʷɒʷbbʷb<blk><blk>bbʎb<blk>bɒ<blk>ɒɒbɒɒɒʷɒɒʷbʷʟbʎʷbbbbbb<blk>bbb<blk>ɹbb<blk>bb<blk><blk><blk><blk>bb<blk><blk>b<blk><blk><blk>bb<blk>b<blk>b<blk><blk><blk><blk><blk>b<blk><blk>b<blk>b<blk><blk><blk><blk><blk>b<blk>bb<blk>b<blk><blk><blk><blk><blk><blk>b<blk><blk><blk>bb<blk><blk>bb<blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk>b<blk><blk><blk><blk>b<blk><blk><blk><blk>b
367,7,ŋgá d̪úɾɔ̀ kə́nɔ̀nà ɲàɽíŋgó,close_negative,ŋɔ̀ɽíŋgɔ́,392.3135070800781,59.71717071533203,bbbbʎbbʎbbb<blk>bbbɒʷʷɒʷʷbbb<blk>bbʷʷbʷʷbɒʎbʷbbbbbɒbʎbbbbbbbbbbb<blk>b<blk>bbbbb<blk>bbbb<blk>b<blk>ɒbbɒʷʷʷʷb<blk>ɒbbʎɒɒbɒɒbbbɒʷbɒɒʷɒbbb<blk>bbbbb<blk>ʎbbbbbbbbbbɹbbbɹbbb<blk>ɹ<blk><blk><blk><blk>b<blk>b<blk><blk><blk><blk>bbb<blk><blk><blk>
368,8,lá ŋácà ŋɔ̀ɽíŋgɔ́ ŋɔ̀mɔ̀ nd̪ɔ̀bà,positive,ŋɔ̀ɽíŋgɔ́,421.0130615234375,59.84297180175781,ʟbbbʷbbʷɒʎʷɒbɒbbʎɒbbbbɒbɒbʷʷʎʷʎɒʷʷʷɒbbbbʷʷɒʷʎbʷɒbbɒʎɒbbɒbʷbʷbbbbbʎɒ<blk>ɒʷɒbbʷbɒɒ<blk>ʎɒbʷʎzʎʎbɒbbʎɒbʎʎbbʎʎbʎʎbʎbbʎbbɒʎʎbʎbʎʎʎ<blk>ʎɹbʷʎʎɹɹb<blk><blk><blk><blk><blk><blk>b<blk><blk><blk>bb<blk><blk>bb<blk><blk><blk>bb
418,7,álá ɾɔ́ðà,negative,ŋɔ̀ɽíŋgɔ́,237.50338745117188,59.959754943847656,bbbbb<blk>bbɒʷɒɒ̩ɒɑɒɒɒɒbʷɒɒbɑɒɒʷʷɒɒʷb<blk>bbbbbb<blk><blk>bbbb<blk>bb<blk><blk>bbb<blk><blk>ʎbbɒʷbbbbbbɒɒbɑbbbbɒbbbbħ<blk>bbbɹb
451,11,sɔ̀ɽíŋgɔ́ t̪ìcə̀lò,close_negative,ŋɔ̀ɽíŋgɔ́,299.06561279296875,59.96982192993164,<blk><blk>bb<blk>bbɦbʕb<blk><blk>bʕbʎɒbʷɒɒbʎbʷʷbʷɒbɒbbbbʷʷbbʷɒʷʷfʷʷʷbbbbbbbbbɹbbb<blk><blk>b<blk>ɹbbɹɹbbbbbbbʟɒbɒɒbʷʎɒɒ<blk>bʎʷbbbb<blk>bbbbb<blk><blk><blk><blk>
404,18,ámácí,negative,ŋɔ̀ɽíŋgɔ́,129.26162719726562,60.09259796142578,ʷɒʎɒbbbbbʷbʷɒʷɒʷɒbbbǂǂbbɒbʷʷɒɒǂɒ<blk>ɹ<blk><blk>bð<blk><blk><blk><blk>bb<blk><blk><blk>b<blk>bb<blk>b<blk>bbb<blk>b<blk><blk>
408,22,ìbɛ́j,negative,ŋɔ̀ɽíŋgɔ́,85.36260986328125,60.18488311767578,bbbb<blk><blk>bbb<blk>bb<blk>bbbb<blk>b<blk>bbb<blk><blk><blk>bb<blk>b<blk>b<blk>bb<blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk>b<blk>b<blk><blk><blk>b<blk><blk><blk><blk>b<blk><blk>
422,11,íŋgá t̪ə̀vɔ́ ðár,negative,ŋɔ̀ɽíŋgɔ́,270.3536376953125,60.38632583618164,b<blk>bbɒbbʷɒɒɒɒɒɒɒɒʎʷbʎbɒʷɒɒbɒʷbʟɒʷʎʷɒɒbɒʎɒbbb<blk>bbbʎbbbbbbʟɹʎbɹɒbʎɒʷɒʷʎʎʎbɒbbb<blk>ʎbb<blk>b<blk><blk><blk>b<blk><blk><blk>
364,4,t̪ɔ́ɾt̪ɔ́l lə́dɔ̀ŋðàt̪ɛ̀ lə̀vàvɾà dún t̪ɔ́wɜ̀nì,negative,ŋɔ̀ɽíŋgɔ́,509.0057678222656,60.411766052246094,ʎɒbbʷɒɒɒbʷʷɒɹɒɒʷbʎbbbʷɒbʷɒɒʷɒʷɒɒʎɒɒʷʎʎʷɒʎʎʷbʷbbʷʷʷɒɒɒɒʎɒʎɒɒɒbʷɒʎɒbɒʷbʷʷʷɒɒɒɒɒɒɒɒʷʷɒʷɒʷɒɒʷɒʷʷɒɒɒʷɒʷɒʷɒʎɒʷɒʷɒʷʎbɒʎɒbɒǂɒʎʷɒɒɒɒbbɒʷɒʷʷɒɒfsɹɹb<blk><blk><blk><blk>b<blk>b<blk><blk><blk><blk><blk>
476,3,kúkù ŋgá kɛ̀cí ɛ́ɾáðɛ́ nɛ̀ rî,negative,ŋɔ̀ɽíŋgɔ́,628.1966552734375,60.51133728027344,ʷʎb<blk>ʷɒbʎʎɒbbʟʎbbɒɒʷɒɒɒɒɒʷbbbbbbbbɒ<blk>bɒbbʎʎɒɒɒɒɒǂɒbʎɒbbbǂɒʷʎbʷɒɒbbbǂbʷbbbbɒɒʷʷɒʷɒʎʷɒʷʎʷbɒbbbbbbbbʷbb<blk>bbb<blk>bbbb<blk>bbbʎʎ<blk><blk>bbbbbbbbbb<blk>ʟɹʟ<blk>bʎbʷbbɒɒbɒʷʷɒʟɒbʷbbbbbbʷʷɒbbɒbbbbʎɒʷʷʷbɒbbbbɒɒɒ<blk>bɒ<blk>bbɒbbbbbbʟb<blk><blk><blk><blk><blk><blk>b<blk><blk><blk>bb<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk>bbbbbb<blk>b<blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk><blk>bb<blk>b<blk>b<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk>b<blk>b<blk>b<blk>
421,10,ŋɔ̀ɽíŋgɔ́ ŋàmɔ̀rðápríɲâ,positive,ŋɔ̀ɽíŋgɔ́,244.12136840820312,60.56007385253906,bbb<blk>b<blk>bb<blk>ʷbɒbbbbʎbbʎʷʷbbbʷbbbʷ<blk>ʎbb<blk>bzbɒbbbbʎʎbɒzbbbʎbbbɹbɒbbʷʷʷɒ<blk>ɹbbbbbbbbbbbɒbɒbɹ<blk><blk><blk>bb
464,0,kúkù kà ðát̪ɛ̀ ɛ̀ðɛ̀ ánó dún,negative,ŋɔ̀ɽíŋgɔ́,296.3462219238281,60.76548767089844,b<blk><blk><blk>b<blk>b<blk>b<blk>b<blk>bbbbb<blk>bb<blk>b<blk>bbbbb<blk><blk>b<blk>bbbb<blk>b<blk>bb<blk><blk>bb<blk><blk>bʎ<blk>ʎbbbbbbbbbʎbʷʎʎbbb<blk><blk>bb<blk>bbbbbbbbbb<blk>bʎbb<blk>bbbbbbbb<blk>bbb<blk><blk>ʎbbbbbbbbbbbb<blk>bb<blk><blk><blk>
400,14,ját̪ɔ́ ŋɔ̀mɔ̀,negative,ŋɔ̀ɽíŋgɔ́,156.43153381347656,60.78221893310547,b<blk>bbbbbʎʷbʷbbbb<blk>bɒʷɒɒɒɒɒɒɒɒɒbɒɒɒʎɒʎbʷʎɹʷbbbɹbbbb<blk>ɹb<blk><blk><blk>b<blk><blk><blk><blk>bb
403,17,ŋìðɛ̀ní ŋʊ̀dó,negative,ŋɔ̀ɽíŋgɔ́,155.78045654296875,60.883888244628906,ɒbbɒɒɒɒɒʷɒɒɒɒɒɒɒʎɒʎɒɒɒ<blk>bɒɒbɒɒɒɒɒbʷʷbbb<blk>b<blk>ɹbb<blk>b<blk>bb<blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk>
379,10,rə̀mt̪ kìcə̀lò,negative,ŋɔ̀ɽíŋgɔ́,192.5139312744141,60.978153228759766,bbbbb<blk>bbbʷbbɒʷbbbbbbʎʎbbbbbbbbb<blk><blk>bbbb<blk>b<blk><blk>bbbbɑbɔʷbʎ<blk><blk><blk><blk><blk>bʎb<blk><blk>bbb<blk>bbb<blk><blk><blk><blk>b<blk>
406,20,jájít̪ɔ́ ɛ̀ðɛ̀,negative,ŋɔ̀ɽíŋgɔ́,115.2444076538086,61.09494400024414,bbbɒɒɒbɒ<blk>bbbbbbbbbbʷɹʎɒɒbɒbbbbbbbb<blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk><blk><blk>b<blk>bbb<blk>b<blk><blk><blk>bb<blk>
