,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
486,6,ɛ̀làɽà kə́ðìɲɔ̀ mùðù nd̪ɔ̀bà,negative,mùðù,548.4498291015625,34.41301727294922,ʷɒɒbʷɒʷɒɒɒɒʷɒɒɒǂɒǂɒɑɒɒɒǂɒʎʷfɒ<blk>ʷʷɒɒǂɒʷɒɒɒɒbɒɒǂbʷɒǂǂᶑʷǂɒʷɑɒɒʷɒbɑɒʷbbb<blk>b<blk>bbbbbbbbbbbbbbbbbbbbbbbbbbɒɒɒɒɒɒɒʷɒɒɒɒɒɒɒɒiʷʷɒɒɒɒɒɒɒɒɒɒɒɒɒɒɒɒɒǂɒʷɒɒʎoʟbʎbw<blk><blk>ɹb<blk><blk><blk><blk><blk><blk>b<blk>b<blk>
530,24,ḿɔ́,negative,mùðù,69.73204040527344,35.369380950927734,bbbbɹbbbɒbʎbɒ<blk>bɒʎbbbb<blk>bb<blk><blk><blk>b<blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk>b<blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk><blk><blk>
586,3,mùðù ŋgá ɽíɲìnɔ̀ làvə̀lɛ̀ dɛ̀,positive,mùðù,413.8265686035156,35.729862213134766,ʷǂʎbɹɹʎʜɒ<blk>bb<blk>bbʜǂiǂiʎɒǂʜʎb<blk>ɹɹʟbɹbʎbʎbʎbʜǂǂɸʎǂɸɸɑǂɸ<blk>ǂɸɸʜbiɸʜɸǂɸǂǂ<blk><blk><blk><blk>bbbbbbbbbbbbbbbbʎɹbb<blk>bɹ<blk>bbb<blk>ʷ<blk>ʷʎʎɸbbbbbbbbbbbuǂɸǂǂ<blk>bʟǂbǂbbbb<blk>ʕ<blk>ɹbɹbbb
560,0,ŋùbút̪ú ŋìcə̀lò,negative,mùðù,385.3559875488281,35.80570983886719,ʟʟ<blk>ʟbbbʎbbʎbʟbǂb<blk>ʜʟʎbɹʎʎɹʟʎǂ<blk>ʷʷʷbʎǂʷbbʎʜǂǂǂǂiǂǂǂbʎ̩ʎʜbɹʎbʎʎb<blk>ʎbʎʎǂǂʷǂǂǂǂǂǂǂǂǂǂǂʷʎǂʎʜǂbʷʎʎʎʎʟʟǂʎǂɒbɹǂǂʎʟ<blk>ǂʜʟ
544,13,ŋídí ŋúɽcà ŋâj ŋə̀ɽà,negative,mùðù,260.0513916015625,35.889434814453125,ɹbbbbʎbbbbbbʷǂʟʎʎɹʎʜʎʎɒʎʎbbʎǂbɸʎǂbʟʎbʷ<blk>ʎbʟʎʷɒǂʎǂʷbbbbbbbʎʎʟɗɹʎbʷbʎbʟʟɹ<blk>ʎʎʕɹʟb<blk>bɹbbbbb<blk><blk>
528,22,ìbɛ́j,negative,mùðù,68.50105285644531,35.914154052734375,<blk><blk>bbbbbb<blk>b<blk><blk><blk><blk>bb<blk><blk><blk>bbbbb<blk>b<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk><blk>bbbb<blk><blk>b<blk>bb<blk>bb<blk><blk><blk><blk><blk><blk><blk>ɹ<blk>b
596,3,mùðù ŋgá íjɛ̀ úɽì ɛ́lɔ́ àvàn,positive,mùðù,519.0149536132812,35.93267059326172,<blk><blk><blk><blk><blk><blk>bbbbbbbbbbb<blk><blk>bb<blk><blk>ʷbbbb<blk>b<blk>b<blk><blk><blk><blk>bɒ<blk>ʎ<blk><blk><blk>bbbbɒbbbʎbbɒbɒɒʷbɒbʷbʎbb<blk>bʷbbɒǂɒbbbɒɒʷɑʷbʷʷ<blk>ʷbb<blk><blk><blk>bbb<blk>bbbbbbbbbb<blk><blk>ʷbbbbbbbbbbbbʷbbbbbb<blk>bb<blk>bbbɒbbbbɒɒbɑbbbbbbʷbʷɑᶑbɑɑbʷbbbɑʎʷbɒʎʎʎbɒbʎbb<blk>bbb<blk><blk><blk><blk>b<blk><blk><blk><blk>
500,12,mùðù kìcə̀lò,positive,mùðù,171.9144287109375,35.94132995605469,<blk><blk>bb<blk><blk>bb<blk>bb<blk>bbbbb<blk>bbb<blk>bbbbbbʎb<blk>bbbbbbbb<blk>bbbbbbbb<blk>b<blk>b<blk>bbbbbb<blk>bbbbb<blk>bb<blk><blk><blk><blk>b<blk>
491,3,kúkù kápɔ́ índɔ̀,negative,mùðù,189.0729522705078,36.000526428222656,bb<blk>b<blk>ɹbbbbbɹbɹ<blk>b<blk><blk>b<blk>bbbbbɹ<blk>ɹbbbɹʎbɹbbɹbbb<blk>bbbb<blk><blk>bbb<blk>bb<blk><blk>bbbb<blk>bɹbɹbɹbɹɹbb<blk>b
525,19,íjɔ́ ɛ́ðɛ̀,negative,mùðù,110.80394744873048,36.006187438964844,<blk>bbb<blk>bbbbbbbʎɒɒbɒbɒʷɒbʷbɒɒbɒbɒbb<blk>bbbɹ<blk><blk><blk><blk><blk><blk><blk><blk>bbb<blk><blk><blk>b<blk>b<blk><blk><blk><blk><blk><blk><blk>
