,Unnamed: 0,sentence,record_type,keyword,loss,wctc_loss,pred_strings
1078,5,t̪átɛ́ ùnɛ́ɾɛ́ újɛ̀l,negative,kàŋú,544.9946899414062,37.76715087890625,bbbb<blk>bbbbb<blk>bbbbbʛɒɒǂʷᶑɒʷʷʷɒbɒʷʷʷbbʷbbbbbbbbb<blk>bbbbbbbbbbbɒɒɒɒɒɒɒɒbbʎɒʷbbbʷbɒɒbʷʷʷɒɒɒʷɒʷʷɒɹbʷbbbbbbbbbɒʷb<blk>bbbʎɒbbʷʷbɒʷɒʷbʷbɒɒbbɒɒbbbbbbbbbbɒbɒɒbɒbɒɒʎɒʷɒʷʷʎbbbbbbb<blk>bbbb<blk><blk><blk><blk><blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk>b<blk><blk><blk>bb
1001,17,ŋìðɛ̀ní ŋʊ̀dó,negative,kàŋú,155.01708984375,37.82251739501953,ɑʷʷbʷʎɒʷɒɒɒǂɒɒɒɒɒʎɒbɒɒbɒɒɒɒɒbɒɒʷɒbbʷbbʎʷ<blk>bbb<blk><blk>b<blk><blk><blk><blk><blk><blk>b<blk><blk>bb<blk>b<blk><blk>
1002,18,ámácí,negative,kàŋú,126.89098358154295,38.01463317871094,ʎǂʷʷbɒʎɹɒbʷʷɒɒɒɒ<blk>ʷbɒbbbʎɒʷɒʷɒɒbʎ<blk>bb<blk>b<blk>bɹ<blk><blk><blk><blk><blk>bbb<blk><blk><blk><blk><blk><blk><blk><blk><blk>bb<blk><blk><blk>
967,7,kàŋú éd̪ɛ̀ɾɛ́ ùnɛ́ɾɛ́,positive,kàŋú,405.048583984375,38.295318603515625,b<blk>b<blk>bbbbɒɒwbɒwɒɑɒʷʷɒbɸbbʷɑɒbʷʎʷɒ<blk>bʷbʷbɑʷbɒɒʷbɒbɒɒɒɒɒʷʷɒɒɑɒʷʷbʷʷʷbbʷʷbbbbbbb<blk>bbbɒbbɒɒɒɒɒʷɹbbbʎbɒbb<blk>bbbbbbbbbɒbɒbbbbbǂbbbb<blk><blk>ɹ<blk><blk>ʕ<blk><blk>b<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b
1004,20,jájít̪ɔ́ ɛ̀ðɛ̀,negative,kàŋú,105.2369613647461,38.42790985107422,bɒbɒɒɒbɒ<blk>b<blk><blk>bbb<blk>ɒʷʎɒɒbɒɒbbbʷɒbbbbb<blk><blk>ɹ<blk><blk><blk>bb<blk>bbb<blk><blk><blk><blk>b<blk><blk><blk>b<blk><blk>b<blk><blk>b<blk>
1007,23,kɛ́ɾá nɔ́ðɛ̀,negative,kàŋú,95.1006317138672,38.45675277709961,ǂbʜɒʷʷɒɒɑʎʎɒʷʎʷʷʷɒbɒbbɒb<blk><blk><blk>b<blk>b<blk><blk>b<blk><blk><blk><blk><blk><blk>bb<blk>ɹb<blk><blk><blk>bb<blk><blk><blk><blk><blk><blk>b<blk><blk><blk><blk>b<blk>
1005,21,tútɔ́,negative,kàŋú,100.2059326171875,38.46586990356445,bbbb<blk>b<blk>bʎ<blk>bbbbbbɹ<blk>bbbbʎʎbbbʷbb<blk>b<blk>b<blk><blk><blk><blk><blk><blk><blk>ɹb<blk>b<blk><blk><blk><blk><blk>bb<blk><blk>b<blk><blk><blk><blk><blk><blk>b
999,15,ɾácí ŋávɛ́,negative,kàŋú,174.79371643066406,38.869102478027344,ɒʷɒɒɒɒǂɒɒbǂɒʟbɒbbɒʷbǂɒbbbɒɒɒɒʷbɒɒʷǂɒɒǂɒɒʷʷbɒbǂʟɒ<blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk><blk>b
1077,4,kàŋú ðálgàrâj ùnɛ́ɾɛ́,positive,kàŋú,503.9132080078125,38.87779998779297,b<blk>bb<blk>bbbbbbb<blk>bbbʟɒʷbbbɑʷbbʎbbʎbʎɒbbʷɒɹbbʎbʷʷ<blk>bbbb<blk>bbbbbbɑɒʷɒbʷʎbbɒʷʷbbbɒʷbʷʎɒbbbʎɒʷbɒɒʷɒ<blk>bbɒbbbbbbbʷbbbbbb<blk><blk>b<blk>bbbbb<blk><blk>b<blk>bbbbbbbbbɒbɒʷbʷʎɒbbʟbb<blk>ɒʷbɒbbbbbb<blk>bħ<blk>bbbbb<blk>bbbbb<blk>b<blk><blk><blk><blk><blk><blk>b<blk><blk>b<blk><blk><blk>b<blk>b<blk>b<blk><blk><blk>b<blk><blk><blk>b<blk><blk>
1022,13,kúkù kàŋú t̪ólèɲá jɔ́,positive,kàŋú,230.22235107421875,39.16190719604492,b<blk>bbbʎbbb<blk>b<blk><blk>b<blk>bbbbɒɹbbbfbʎʎbʎʎbbbbb<blk>bbbʎbʎɒbʎbbbbɒʎbbbbbbbʎɹbb<blk>bbbʎbʎbbbb<blk>bbb<blk><blk>bb<blk><blk>ɹ
1037,11,àt̪ùɟâj jìcə̀lò,negative,kàŋú,330.9989929199219,39.18558120727539,ɒɒbɒɒʎʷɒʷɒʷbɒɒǂɒʎbɒbʷɒʷʷɒɒɒǂɒǂɒʷɒbɒɒbɒbbbbbɒʎɒɒɒbbɒbɒbbɒɒɒʷʷɒɒɒɒʷɒbɒɒɒbɒɒʎbbɹʷʟbbbbǂbbʎb<blk>ɹb<blk>b<blk>ɹ<blk>
1075,2,láɾl̀à ðə́ɟíðɔ́ dìjɔ́ nd̪ɔ̀bà,negative,kàŋú,610.7540893554688,39.2540168762207,ɹb<blk>bbbbbb<blk>bbbbbbbbbbbbbbb<blk>ɹɹb<blk>bbbbɒbɒɒɒɒɒɒɒɒǂɒʷⱱɒɒᶑɒɒǂɒʷɒɒbʷʎɒbɒbʛɒbɒbbʎɒbɒʷɭɒɒɒɒɒbɒɒɒʎɒɒʎʷɒʎɹʎbbbbb<blk>ɹbb<blk>b<blk>bbbbbbbbbbbʎɹ<blk>bbbb<blk>bbbbbbɒbɒbɒɒʎʎʷ<blk><blk>bbbbbbbɒʷb<blk>ʎʎbbbbʎ<blk>b<blk>ʎʎbʷʷbʷbʎʎbbb<blk>bbbbb<blk>b<blk>b<blk>b<blk><blk>b<blk><blk>bb<blk>
998,14,ját̪ɔ́ ŋɔ̀mɔ̀,negative,kàŋú,150.37014770507812,39.433406829833984,bbbb<blk>bbbɒɹʷɹbbbbʷʷɒɒɒɒɒʷɒɒɒɒbɒɒbʎzɒbbʷʎbbb<blk>b<blk>bħb<blk>b<blk><blk>b<blk><blk><blk>b<blk><blk><blk>b<blk>
